CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
155;FALSE;30;5;2;NA;6;1.38;0.77;0.6
156;FALSE;11;2;2;NA;NA;2.41;1.47;0.26
157;FALSE;33;4;1;NA;NA;0.54;0.39;0.39
158;FALSE;56;0;0;NA;NA;1.11;2.02;0.68
159;FALSE;37;1;0;NA;NA;2.15;2.14;0.74
160;FALSE;8;4;1;NA;NA;2.05;1.3;0.67
161;FALSE;83;0;0;NA;NA;1.23;1.99;0.67
162;FALSE;54;3;0;NA;NA;0.1;1.7;0.89
163;FALSE;181;0;0;NA;NA;1.81;1.58;0.17
164;FALSE;42;1;0;NA;NA;0.76;1.5;0.86
165;FALSE;8;2;0;NA;NA;1.46;1.74;0.48
166;FALSE;104;3;2;NA;NA;2;1.61;0.26
167;FALSE;126;1;0;NA;NA;2.38;1.52;0.25
168;FALSE;162;0;0;NA;NA;1.49;2.02;0.04
169;FALSE;118;4;0;NA;NA;0.87;1.03;0.89
170;FALSE;72;5;2;NA;6;2.01;1.74;0.57
171;FALSE;16;4;0;NA;NA;1.72;1.6;0.57
172;FALSE;22;1;2;NA;NA;2.1;1.45;0.61
173;FALSE;69;0;2;NA;NA;1.66;1.9;0.53
174;FALSE;54;0;1;NA;NA;2.21;1.23;0.67
175;FALSE;185;0;1;NA;NA;1.55;1.86;0.31
176;FALSE;28;0;0;NA;NA;1.44;1.98;0.39
177;FALSE;21;5;2;NA;10;1.42;0.5;0.65
178;FALSE;130;1;1;NA;NA;1.42;1.11;0.59
179;FALSE;198;0;0;NA;NA;1.89;0.78;0.24
180;FALSE;122;4;0;NA;NA;2.32;1.75;0.49
181;FALSE;101;5;0;NA;3;0.28;1.75;0.26
182;FALSE;34;4;1;NA;NA;1.66;1.53;0.7
183;FALSE;40;0;2;NA;NA;1.47;1.69;0.74
184;FALSE;76;5;0;NA;2;0.65;0.93;0.5
185;FALSE;42;6;0;4;NA;1.71;1.97;0.6
186;FALSE;13;3;0;NA;NA;1.39;2.49;0.65
187;FALSE;82;4;0;NA;NA;0.96;1.18;0.79
188;FALSE;6;4;0;NA;NA;2.48;1.6;0.59
