RUN_ID;PATH;ITERATION_1;CONFIG_ID_1;SOLUTION_1;QUALITY_1;ORIGIN_TYPE_1;TYPE_1;ORIGIN_IS_ELITE_1;IS_ELITE_1;ITERATION_2;CONFIG_ID_2;SOLUTION_2;QUALITY_2;ORIGIN_TYPE_2;TYPE_2;ORIGIN_IS_ELITE_2;IS_ELITE_2
7;TRUE;4;97;15240XXXX22520075;0.38124063;STANDARD;STANDARD;TRUE;TRUE;5;119;16740XXXX23520075;0.503367;END;END;FALSE;FALSE
7;TRUE;4;95;05710XXXX13518580;0.40949477;STANDARD;STANDARD;TRUE;TRUE;5;120;07710XXXX18522585;0.48301483;END;END;FALSE;FALSE
7;TRUE;4;96;05710XXXX18522570;0.31988849;STANDARD;STANDARD;TRUE;TRUE;5;121;04710XXXX18522050;0.34897304;END;END;FALSE;FALSE
7;TRUE;4;38;04710XXXX18023570;0.32548195;STANDARD;STANDARD;TRUE;TRUE;5;122;06710XXXX16023080;0.41292418;END;END;FALSE;FALSE
7;TRUE;4;38;04710XXXX18023570;0.32548195;STANDARD;STANDARD;TRUE;TRUE;5;123;03210XXXX18024070;0.32251287;END;END;FALSE;FALSE
7;TRUE;4;38;04710XXXX18023570;0.32548195;STANDARD;STANDARD;TRUE;TRUE;5;124;03710XXXX20022065;0.31900148;END;END;FALSE;FALSE
7;TRUE;4;97;15240XXXX22520075;0.38124063;STANDARD;STANDARD;TRUE;TRUE;5;125;13240XXXX21518570;0.37757912;END;END;FALSE;FALSE
7;TRUE;4;97;15240XXXX22520075;0.38124063;STANDARD;STANDARD;TRUE;TRUE;5;126;15740XXXX19015060;0.49731318;END;END;FALSE;FALSE
7;TRUE;4;38;04710XXXX18023570;0.32548195;STANDARD;STANDARD;TRUE;TRUE;5;127;06210XXXX17022065;0.23225396;END;END;TRUE;TRUE
7;TRUE;4;96;05710XXXX18522570;0.31988849;STANDARD;STANDARD;TRUE;TRUE;5;128;0176009XX18022575;1;END;END;FALSE;FALSE
7;TRUE;4;38;04710XXXX18023570;0.32548195;STANDARD;STANDARD;TRUE;TRUE;5;129;03710XXXX17520580;0.35436681;END;END;FALSE;FALSE
7;TRUE;4;95;05710XXXX13518580;0.40949477;STANDARD;STANDARD;TRUE;TRUE;5;130;06210XXXX08516580;0.42612857;END;END;FALSE;FALSE
7;TRUE;4;95;05710XXXX13518580;0.40949477;STANDARD;STANDARD;TRUE;TRUE;5;131;03212XXXX08517590;0.575156;END;END;FALSE;FALSE
7;TRUE;4;97;15240XXXX22520075;0.38124063;STANDARD;STANDARD;TRUE;TRUE;5;132;19240XXXX22021580;0.47918522;END;END;FALSE;FALSE
7;TRUE;4;38;04710XXXX18023570;0.32548195;STANDARD;STANDARD;TRUE;TRUE;5;133;07710XXXX16522575;0.43462513;END;END;FALSE;FALSE
7;TRUE;4;38;04710XXXX18023570;0.32548195;STANDARD;STANDARD;TRUE;TRUE;5;134;04210XXXX19024080;0.3367268;END;END;TRUE;TRUE
7;TRUE;4;97;15240XXXX22520075;0.38124063;STANDARD;STANDARD;TRUE;TRUE;5;135;14740XXXX24520585;0.49441683;END;END;FALSE;FALSE
7;TRUE;4;97;15240XXXX22520075;0.38124063;STANDARD;STANDARD;TRUE;TRUE;5;136;15240XXXX18019570;0.47727437;END;END;FALSE;FALSE
7;TRUE;4;96;05710XXXX18522570;0.31988849;STANDARD;STANDARD;TRUE;TRUE;5;137;05710XXXX16523555;0.29786957;END;END;FALSE;FALSE
7;TRUE;4;95;05710XXXX13518580;0.40949477;STANDARD;STANDARD;TRUE;TRUE;5;138;08210XXXX10018080;0.49636166;END;END;FALSE;FALSE
7;TRUE;4;97;15240XXXX22520075;0.38124063;STANDARD;STANDARD;TRUE;TRUE;5;139;16240XXXX23022075;0.49123866;END;END;FALSE;FALSE
7;TRUE;4;38;04710XXXX18023570;0.32548195;STANDARD;STANDARD;TRUE;TRUE;5;140;06210XXXX18024075;0.34682587;END;END;FALSE;FALSE
8;FALSE;1;1;03752XX0718505550;0.7006014;START;START;FALSE;FALSE;1;1;03752XX0718505550;0.7006014;START;START;FALSE;FALSE
8;FALSE;1;2;13710XXXX06018005;0.76822389;START;START;FALSE;FALSE;1;2;13710XXXX06018005;0.76822389;START;START;FALSE;FALSE
8;FALSE;1;3;1876109XX00011525;0.97906291;START;START;FALSE;FALSE;1;3;1876109XX00011525;0.97906291;START;START;FALSE;FALSE
8;FALSE;1;4;08730XXXX12524070;0.76703477;START;START;FALSE;FALSE;1;4;08730XXXX12524070;0.76703477;START;START;FALSE;FALSE
8;FALSE;1;5;01202XXXX15514515;0.57815075;START;START;FALSE;FALSE;1;5;01202XXXX15514515;0.57815075;START;START;FALSE;FALSE
8;FALSE;1;6;11240XXXX03002060;0.64850179;START;START;FALSE;FALSE;1;6;11240XXXX03002060;0.64850179;START;START;FALSE;FALSE
8;FALSE;1;7;16222XXXX09021080;0.73878414;START;START;FALSE;FALSE;1;7;16222XXXX09021080;0.73878414;START;START;FALSE;FALSE
8;FALSE;1;8;0626119XX22008535;0.99116738;START;START;FALSE;FALSE;1;8;0626119XX22008535;0.99116738;START;START;FALSE;FALSE
8;FALSE;1;9;02720XXXX23522575;0.53143801;START;START;FALSE;FALSE;1;9;02720XXXX23522575;0.53143801;START;START;FALSE;FALSE
8;FALSE;1;10;12752XX0711010030;0.96359087;START;START;FALSE;FALSE;1;10;12752XX0711010030;0.96359087;START;START;FALSE;FALSE
8;FALSE;1;11;07731XXXX17004055;0.80790084;START;START;FALSE;FALSE;1;11;07731XXXX17004055;0.80790084;START;START;FALSE;FALSE
8;FALSE;1;12;17700XXXX04516010;0.47935805;START;STANDARD;TRUE;TRUE;1;12;17700XXXX04516010;0.47935805;START;STANDARD;TRUE;TRUE
8;FALSE;1;13;10221XXXX01519585;0.60232481;START;START;FALSE;FALSE;1;13;10221XXXX01519585;0.60232481;START;START;FALSE;FALSE
8;FALSE;1;14;05212XXXX20013020;0.77226045;START;START;FALSE;FALSE;1;14;05212XXXX20013020;0.77226045;START;START;FALSE;FALSE
8;FALSE;1;15;15241XXXX07500565;0.81213814;START;START;FALSE;FALSE;1;15;15241XXXX07500565;0.81213814;START;START;FALSE;FALSE
8;FALSE;1;16;07221XXXX04000080;0.62823705;START;START;FALSE;FALSE;1;16;07221XXXX04000080;0.62823705;START;START;FALSE;FALSE
8;FALSE;1;17;17250XX0716012535;0.42123586;START;STANDARD;TRUE;TRUE;1;17;17250XX0716012535;0.42123586;START;STANDARD;TRUE;TRUE
8;FALSE;1;18;12202XXXX22506010;0.9705385;START;START;FALSE;FALSE;1;18;12202XXXX22506010;0.9705385;START;START;FALSE;FALSE
