network_name;problem_type;number_of_runs;best_known_solution;components;single_components;multiple_components;max_distance;mean_distance;sd_distance;min_nodes_multiple_components;max_nodes_multiple_components;mean_nodes_multiple_components;sd_nodes_multiple_components;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;max_degree;min_degree;average_degree;average_regular_in_degree;average_elite_in_degree;average_elite_out_degree;best_nodes;average_best_in_degree;average_best_out_degree;best_strength_in;start_best_nodes;standard_best_nodes;end_best_nodes;average_path_length;paths;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate
BH-90-L4;min;20;0.2;76;40;36;12;3.25;2.70845237833606;2;75;12.5555555555556;17.5506523190848;492;0;492;86;488;77;447;306;8;133;11;0;1.81707317073171;NA;0.908536585365854;0.908536585365854;1;1;0;0.1;0;1;1;14;1;0.00203252032520325;0;1;0.17479674796748;0.991869918699187;0.15650406504065;0.684563758389262;0.0178970917225951;0.297539149888143
BH-90-L5;min;20;0.2;60;40;20;12;2.8;3.05390173212461;2;238;20.25;54.2497877754762;445;0;445;86;442;71;423;288;5;130;10;0;1.90112359550562;NA;0.950561797752809;0.950561797752809;1;1;0;0.1;0;1;1;10;1;0.00224719101123596;0;1;0.193258426966292;0.993258426966292;0.159550561797753;0.680851063829787;0.0118203309692671;0.307328605200946
BL-L0;min;20;0.11;83;36;47;7;3.06382978723404;1.85805245537351;2;21;8.27659574468085;6.33040326917774;425;0;425;83;413;112;342;216;21;105;7;0;1.60941176470588;NA;0.804705882352941;0.804705882352941;1;1;0;0.05;0;0;1;5;1;0.00235294117647059;0;1;0.195294117647059;0.971764705882353;0.263529411764706;0.631578947368421;0.0614035087719298;0.307017543859649
BL-L1;min;20;0.11;83;36;47;7;3.06382978723404;1.85805245537351;2;21;8.27659574468085;6.33040326917774;425;0;425;83;413;112;342;216;21;105;7;0;1.60941176470588;NA;0.804705882352941;0.804705882352941;1;1;0;0.05;0;0;1;5;1;0.00235294117647059;0;1;0.195294117647059;0.971764705882353;0.263529411764706;0.631578947368421;0.0614035087719298;0.307017543859649
BL-L2;min;20;0.11;82;36;46;7;3;1.82574185835055;2;33;8.43478260869565;7.15123042688162;424;0;424;83;412;111;342;216;21;105;7;0;1.61320754716981;NA;0.806603773584906;0.806603773584906;1;1;0;0.05;0;0;1;5;1;0.00235849056603774;0;1;0.195754716981132;0.971698113207547;0.261792452830189;0.631578947368421;0.0614035087719298;0.307017543859649
BL-L3;min;20;0.11;83;36;47;7;3.06382978723404;1.85805245537351;2;21;8.23404255319149;6.27698614317637;423;0;423;83;413;112;342;216;21;105;7;0;1.61702127659574;NA;0.808510638297872;0.808510638297872;1;1;0;0.05;0;0;1;5;1;0.00236406619385343;0;1;0.196217494089835;0.976359338061466;0.264775413711584;0.631578947368421;0.0614035087719298;0.307017543859649
BL-L4;min;20;0.14;79;36;43;7;2.90697674418605;1.78370872980417;2;40;8.72093023255814;8.73778216765;411;0;411;83;402;105;336;212;19;105;7;0;1.63503649635036;NA;0.817518248175182;0.817518248175182;5;1;0.2;0.55;0;4;5;10.2;5;0.0121654501216545;0;1;0.201946472019465;0.978102189781022;0.255474452554745;0.630952380952381;0.056547619047619;0.3125
BL-L5;min;20;0.11;69;36;33;7;2.81818181818182;1.97570470741685;2;83;10.7272727272727;16.5855221640606;390;0;390;83;381;100;331;210;19;102;7;0;1.6974358974359;NA;0.848717948717949;0.848717948717949;1;1;0;0.05;0;0;1;9.25;4;0.00256410256410256;0;1;0.212820512820513;0.976923076923077;0.256410256410256;0.634441087613293;0.0574018126888218;0.308157099697885
BL-45-L0;min;20;0.17;62;18;44;8;3.68181818181818;2.21803104883931;2;25;10.4545454545455;7.6961317539807;478;0;478;62;469;109;416;268;24;124;8;0;1.74058577405858;NA;0.870292887029289;0.870292887029289;1;1;2;0.1;0;1;1;7;1;0.00209205020920502;0;1;0.129707112970711;0.981171548117155;0.228033472803347;0.644230769230769;0.0576923076923077;0.298076923076923
BL-45-L1;min;20;0.17;62;18;44;8;3.68181818181818;2.21803104883931;2;25;10.4545454545455;7.6961317539807;478;0;478;62;469;109;416;268;24;124;8;0;1.74058577405858;NA;0.870292887029289;0.870292887029289;1;1;2;0.1;0;1;1;7;1;0.00209205020920502;0;1;0.129707112970711;0.981171548117155;0.228033472803347;0.644230769230769;0.0576923076923077;0.298076923076923
