CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
56;FALSE;FALSE;81;4;1;NA;NA;2.04;1.07;0.65
57;FALSE;FALSE;180;1;0;NA;NA;0.79;2.32;0.2
58;FALSE;FALSE;106;2;1;NA;NA;1.1;1.38;0.76
59;FALSE;FALSE;6;5;0;NA;4;2.35;0.13;0.31
60;FALSE;FALSE;155;3;1;NA;NA;0.47;0.76;0.54
61;FALSE;FALSE;56;0;2;NA;NA;1.72;2.01;0.09
62;FALSE;FALSE;98;3;1;NA;NA;1.23;2.14;0.4
63;TRUE;FALSE;148;1;0;NA;NA;1.86;1.52;0.63
64;FALSE;FALSE;48;5;2;NA;4;0.61;0.27;0.18
65;FALSE;FALSE;123;4;1;NA;NA;2.17;0.58;0.07
66;FALSE;FALSE;189;5;0;NA;7;0.99;2.4;0.65
67;FALSE;FALSE;147;1;0;NA;NA;1.23;1.64;0.86
68;FALSE;FALSE;180;4;2;NA;NA;1.3;2.04;0.61
69;FALSE;FALSE;194;1;0;NA;NA;1.79;2;0.79
70;FALSE;FALSE;163;1;0;NA;NA;2.09;2.48;0.72
71;FALSE;FALSE;84;5;0;NA;7;2.09;1.18;0.63
72;FALSE;FALSE;79;2;0;NA;NA;2.11;0.64;0.76
73;FALSE;FALSE;103;5;2;NA;9;1.69;2.38;0.66
74;FALSE;FALSE;180;1;2;NA;NA;1.42;1.45;0.28
75;FALSE;FALSE;141;2;1;NA;NA;2.42;1.95;0.61
76;FALSE;FALSE;197;3;0;NA;NA;1.16;2.12;0.78
77;FALSE;FALSE;135;0;2;NA;NA;2.19;1.54;0.54
78;FALSE;FALSE;141;5;0;NA;7;2.01;1.85;0.82
79;FALSE;FALSE;88;0;0;NA;NA;2.01;1.12;0.46
80;FALSE;FALSE;172;4;0;NA;NA;0.42;1.51;0.63
81;FALSE;FALSE;199;4;0;NA;NA;1.04;2.26;0.4
82;TRUE;FALSE;84;4;0;NA;NA;0.54;1.7;0.58
83;FALSE;FALSE;152;2;0;NA;NA;0.94;2.4;0.72
84;FALSE;FALSE;196;0;0;NA;NA;0.81;1.43;0.18
85;FALSE;FALSE;90;5;1;NA;9;1.29;1.89;0.63
86;FALSE;FALSE;162;3;0;NA;NA;2.35;2.06;0.79
87;FALSE;FALSE;146;2;2;NA;NA;1.98;1.51;0.73
88;FALSE;FALSE;163;2;0;NA;NA;2.06;1.46;0.57
89;FALSE;FALSE;168;4;0;NA;NA;1.57;1.69;0.74
90;FALSE;FALSE;174;4;2;NA;NA;2.17;1.16;0.74
91;FALSE;FALSE;114;6;1;15;NA;1.26;0.8;0.59
92;FALSE;FALSE;114;3;0;NA;NA;0.41;2.43;0.48
93;FALSE;FALSE;119;1;1;NA;NA;1.34;2.24;0.6
94;FALSE;FALSE;134;5;0;NA;9;1.39;1.51;0.65
95;FALSE;FALSE;32;3;0;NA;NA;0.94;2.06;0.49
96;FALSE;FALSE;103;2;2;NA;NA;1.32;0.74;0.09
97;FALSE;FALSE;148;6;1;14;NA;0.04;2.18;0.82
98;FALSE;FALSE;21;1;2;NA;NA;1.46;2.18;0.44
99;TRUE;FALSE;55;4;0;NA;NA;2.48;1.45;0.73
100;FALSE;FALSE;122;3;0;NA;NA;0.79;1.47;0.19
101;FALSE;FALSE;126;0;0;NA;NA;2.25;1.78;0.68
102;FALSE;FALSE;94;5;1;NA;9;0.92;1.28;0.72
103;FALSE;FALSE;21;3;1;NA;NA;1.47;2.27;0.78
104;FALSE;FALSE;189;2;1;NA;NA;2.44;2.28;0.56
