CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
144;FALSE;123;4;0;NA;NA;0.25;2.26;0.18
145;FALSE;107;4;0;NA;NA;0.04;1.77;0.22
146;FALSE;117;4;0;NA;NA;0.46;2.32;0.23
147;FALSE;135;4;0;NA;NA;0.25;2.39;0.26
148;FALSE;119;4;0;NA;NA;0.55;2.3;0.33
149;FALSE;104;4;0;NA;NA;0.11;2.49;0.12
150;FALSE;119;4;0;NA;NA;0.18;2.13;0.3
151;FALSE;135;4;0;NA;NA;0.07;2.13;0.2
152;FALSE;129;4;0;NA;NA;0.32;2.04;0.19
153;FALSE;113;4;0;NA;NA;0.29;2.1;0.23
154;FALSE;101;4;0;NA;NA;0.42;2.33;0.18
155;FALSE;103;4;0;NA;NA;0.58;2.12;0.16
156;FALSE;122;4;0;NA;NA;0.2;2.21;0.28
157;FALSE;111;4;0;NA;NA;0.43;2.21;0.31
158;FALSE;107;4;0;NA;NA;0.56;2.31;0.18
159;FALSE;110;4;0;NA;NA;0;2.2;0.23
160;FALSE;119;4;0;NA;NA;0.33;2.24;0.2
161;FALSE;105;4;0;NA;NA;0.06;2.12;0.18
162;FALSE;120;4;0;NA;NA;0.44;2.49;0.1
163;FALSE;107;4;0;NA;NA;0.3;2.33;0.2
164;FALSE;107;4;0;NA;NA;0.33;2.24;0.2
165;FALSE;103;4;0;NA;NA;0.44;2.31;0.19
166;FALSE;115;4;0;NA;NA;0.26;2.21;0.23
167;FALSE;112;4;0;NA;NA;0.68;2.34;0.1
