CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
84;FALSE;FALSE;103;4;2;NA;NA;0.23;2.04;0.45
85;FALSE;FALSE;144;2;1;NA;NA;1.5;2.29;0.78
86;FALSE;FALSE;196;0;2;NA;NA;1.76;1.41;0.87
87;FALSE;FALSE;163;4;2;NA;NA;1.1;1.79;0.77
88;FALSE;FALSE;139;4;1;NA;NA;2.23;1.54;0.54
89;FALSE;FALSE;95;4;0;NA;NA;1.19;1.37;0.8
90;FALSE;FALSE;193;4;2;NA;NA;1.2;2.39;0.54
91;FALSE;FALSE;160;0;0;NA;NA;1.75;2.33;0.64
92;FALSE;FALSE;146;4;2;NA;NA;0.81;2.07;0.74
93;FALSE;FALSE;76;4;0;NA;NA;1.84;1.96;0.9
94;FALSE;FALSE;180;5;1;NA;4;2.04;2.27;0.65
95;FALSE;FALSE;150;4;0;NA;NA;0.7;1.71;0.54
96;FALSE;FALSE;198;4;0;NA;NA;0.95;1.72;0.66
97;TRUE;FALSE;176;4;2;NA;NA;1.27;2.24;0.69
98;FALSE;FALSE;132;4;2;NA;NA;1.2;2.11;0.51
99;FALSE;FALSE;152;4;2;NA;NA;1.66;1.73;0.6
100;FALSE;FALSE;154;4;1;NA;NA;1.33;1.95;0.67
101;FALSE;FALSE;200;4;0;NA;NA;0.87;1.82;0.52
102;FALSE;FALSE;155;4;2;NA;NA;2.08;2.2;0.81
103;FALSE;FALSE;147;4;1;NA;NA;2.13;2.29;0.88
104;FALSE;FALSE;181;4;2;NA;NA;2.18;2.19;0.84
105;FALSE;FALSE;119;4;0;NA;NA;1.99;1.51;0.79
106;FALSE;FALSE;174;4;0;NA;NA;1.77;2;0.56
107;FALSE;FALSE;149;4;0;NA;NA;1.48;2.2;0.77
108;FALSE;FALSE;154;4;2;NA;NA;1.97;2.38;0.78
109;FALSE;FALSE;128;4;2;NA;NA;1.77;2.48;0.58
110;FALSE;FALSE;196;4;2;NA;NA;1.29;2.22;0.8
111;TRUE;FALSE;109;4;2;NA;NA;1.51;2.35;0.75
112;FALSE;FALSE;162;4;2;NA;NA;0.9;1.72;0.83
113;FALSE;FALSE;186;4;2;NA;NA;2.16;2.07;0.68
114;FALSE;FALSE;151;4;0;NA;NA;1.47;1.9;0.52
115;FALSE;FALSE;132;4;2;NA;NA;1.06;2.21;0.51
116;FALSE;FALSE;177;4;2;NA;NA;1.71;2.41;0.54
117;FALSE;FALSE;152;4;0;NA;NA;1.52;2.33;0.67
118;FALSE;FALSE;103;4;2;NA;NA;1.27;2.38;0.83
119;FALSE;FALSE;133;4;2;NA;NA;1.51;2.42;0.8
120;FALSE;FALSE;134;4;2;NA;NA;1.42;2.3;0.76
121;FALSE;FALSE;167;4;0;NA;NA;1.3;1.6;0.68
122;FALSE;FALSE;110;4;2;NA;NA;1.2;2.33;0.7
123;FALSE;FALSE;42;4;2;NA;NA;1.84;2.27;0.76
124;FALSE;FALSE;180;4;1;NA;NA;1.77;2.19;0.62
125;FALSE;FALSE;175;4;0;NA;NA;1.36;2.14;0.6
126;FALSE;FALSE;184;4;0;NA;NA;1.58;1.92;0.62
127;TRUE;FALSE;138;4;0;NA;NA;1.79;1.99;0.63
128;FALSE;FALSE;166;4;0;NA;NA;1.49;2.46;0.63
129;TRUE;FALSE;81;4;0;NA;NA;1.53;2.03;0.63
130;FALSE;FALSE;112;4;0;NA;NA;1.3;2.47;0.72
131;FALSE;FALSE;127;4;2;NA;NA;1.54;2.45;0.69
132;FALSE;FALSE;183;4;2;NA;NA;1.5;1.8;0.74
133;FALSE;FALSE;147;4;0;NA;NA;1.02;2.26;0.43
134;TRUE;FALSE;154;4;2;NA;NA;1.07;2.46;0.84
135;FALSE;FALSE;185;4;2;NA;NA;0.9;2.37;0.66
136;TRUE;FALSE;145;4;0;NA;NA;1.26;2.47;0.54
137;FALSE;FALSE;162;4;2;NA;NA;1.1;2.29;0.82
138;FALSE;FALSE;145;4;2;NA;NA;1.13;2.13;0.75
139;FALSE;FALSE;169;4;2;NA;NA;0.8;2.06;0.73
140;FALSE;FALSE;145;4;0;NA;NA;1.38;2.11;0.54
141;FALSE;FALSE;166;4;0;NA;NA;1.91;1.81;0.7
142;FALSE;FALSE;131;4;2;NA;NA;1.45;2.34;0.74
143;FALSE;FALSE;96;4;2;NA;NA;1.57;2.43;0.76
144;FALSE;FALSE;102;4;2;NA;NA;1.64;2.11;0.73
145;FALSE;FALSE;114;4;2;NA;NA;1.42;2.24;0.52
146;FALSE;FALSE;146;4;0;NA;NA;1.88;2.38;0.68
147;TRUE;FALSE;140;4;0;NA;NA;1.82;2.09;0.7
148;FALSE;FALSE;84;4;2;NA;NA;1.34;2.39;0.69
149;FALSE;FALSE;115;4;2;NA;NA;1.54;2.09;0.77
150;FALSE;FALSE;121;4;0;NA;NA;1;2.37;0.42
151;TRUE;TRUE;135;4;0;NA;NA;1.32;2.29;0.57
152;FALSE;FALSE;121;4;0;NA;NA;1.91;1.67;0.57
153;FALSE;FALSE;89;4;2;NA;NA;1.69;2.46;0.81
154;FALSE;FALSE;131;4;0;NA;NA;1.98;1.84;0.61
155;FALSE;FALSE;100;4;2;NA;NA;1.71;2.29;0.79
156;TRUE;FALSE;133;4;0;NA;NA;2.13;2.02;0.65
157;FALSE;FALSE;137;4;2;NA;NA;1.6;1.91;0.76
158;FALSE;FALSE;128;4;2;NA;NA;1.51;2.08;0.78
159;FALSE;FALSE;168;4;2;NA;NA;1.17;2.39;0.84
