CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
153;FALSE;FALSE;129;5;0;NA;10;2.29;2.3;0.59
154;FALSE;FALSE;7;1;2;NA;NA;2.1;1.83;0.62
155;FALSE;FALSE;161;4;2;NA;NA;1.62;1.71;0.66
156;FALSE;FALSE;147;3;1;NA;NA;2.29;2.01;0.45
157;FALSE;FALSE;105;1;0;NA;NA;0.78;0.72;0.2
158;FALSE;FALSE;59;0;1;NA;NA;2.24;0.92;0.71
159;FALSE;FALSE;68;6;1;18;NA;1.5;1.43;0.72
160;FALSE;FALSE;169;2;2;NA;NA;1.9;0.98;0.49
161;FALSE;FALSE;173;4;1;NA;NA;2.28;1.78;0.53
162;FALSE;FALSE;123;4;0;NA;NA;1.63;2.15;0.57
163;FALSE;FALSE;164;2;0;NA;NA;2.36;2.35;0.88
164;FALSE;FALSE;67;0;0;NA;NA;1.22;1.42;0.29
165;FALSE;FALSE;179;4;0;NA;NA;0.37;2.46;0.6
166;FALSE;FALSE;121;0;0;NA;NA;0.53;1.37;0.52
167;FALSE;FALSE;163;2;0;NA;NA;0.61;0.94;0.75
168;FALSE;FALSE;148;1;0;NA;NA;2.27;1.54;0.71
169;FALSE;FALSE;173;1;0;NA;NA;1.97;2.19;0.81
170;FALSE;FALSE;152;2;0;NA;NA;0.41;1.73;0.22
171;FALSE;FALSE;177;3;2;NA;NA;2.38;1.22;0.75
172;FALSE;FALSE;164;4;2;NA;NA;2.46;1.85;0.65
173;FALSE;FALSE;133;5;2;NA;10;0.42;2.03;0.89
174;FALSE;FALSE;139;0;1;NA;NA;2.44;0.85;0.14
175;FALSE;FALSE;185;0;2;NA;NA;2.43;1.71;0.82
176;FALSE;FALSE;38;1;1;NA;NA;1.69;1.51;0.36
177;FALSE;FALSE;48;1;2;NA;NA;1.47;1.57;0.21
178;FALSE;FALSE;89;3;1;NA;NA;2.24;1.56;0.76
179;FALSE;FALSE;141;5;2;NA;2;2.26;1.32;0.21
180;FALSE;FALSE;74;3;0;NA;NA;0.72;2.14;0
181;FALSE;FALSE;61;5;0;NA;3;0.76;1.44;0.66
182;FALSE;FALSE;99;0;0;NA;NA;1.29;2.28;0.24
183;FALSE;FALSE;150;1;0;NA;NA;1.02;0.89;0.15
184;FALSE;FALSE;194;3;1;NA;NA;1.87;2.07;0.76
185;FALSE;FALSE;114;1;1;NA;NA;0.19;2.39;0.35
186;FALSE;FALSE;89;3;0;NA;NA;1.1;0.76;0.48
187;FALSE;FALSE;156;4;2;NA;NA;1.04;2.01;0.36
188;FALSE;FALSE;185;4;0;NA;NA;2.02;1;0.66
189;FALSE;FALSE;165;1;0;NA;NA;2.14;1.96;0.79
190;FALSE;FALSE;115;3;2;NA;NA;0.25;0.81;0.62
191;FALSE;FALSE;116;2;0;NA;NA;0.66;2.42;0.16
192;FALSE;FALSE;139;3;0;NA;NA;1.49;1.97;0.47
193;FALSE;FALSE;37;4;0;NA;NA;1.62;2.1;0.06
194;FALSE;FALSE;196;3;2;NA;NA;1.71;1.35;0.35
195;TRUE;FALSE;83;4;0;NA;NA;1.45;1.71;0.36
196;FALSE;FALSE;86;1;2;NA;NA;1.48;1.91;0.45
197;FALSE;FALSE;128;2;0;NA;NA;0.77;1.78;0.42
198;FALSE;FALSE;158;2;2;NA;NA;2.35;1.8;0.81
199;FALSE;FALSE;138;2;1;NA;NA;1.31;0.89;0.62
200;FALSE;FALSE;76;4;0;NA;NA;0.35;0.95;0.41
201;FALSE;FALSE;116;2;0;NA;NA;1.48;2.45;0.59
202;FALSE;FALSE;177;1;0;NA;NA;2.05;1.51;0.27
203;FALSE;FALSE;149;0;2;NA;NA;1.61;2.3;0.6
204;FALSE;FALSE;154;5;0;NA;8;1.62;1.94;0.9
205;FALSE;FALSE;100;4;0;NA;NA;1.68;2.19;0.48
206;FALSE;FALSE;40;5;0;NA;8;1.48;2.32;0.55
207;FALSE;FALSE;39;4;1;NA;NA;2.38;2.47;0.69
208;FALSE;FALSE;110;0;1;NA;NA;1.25;1.61;0.02
209;FALSE;FALSE;99;5;1;NA;9;1.09;1.17;0.22
210;FALSE;FALSE;29;1;1;NA;NA;0.1;1.73;0.4
211;FALSE;FALSE;97;1;1;NA;NA;1.63;2.44;0.6
212;FALSE;FALSE;79;0;1;NA;NA;0.38;1.29;0.48
213;FALSE;FALSE;112;3;0;NA;NA;2.04;0.84;0.13
214;FALSE;FALSE;162;6;0;8;NA;2.26;1.88;0.51
215;FALSE;FALSE;188;1;0;NA;NA;2.34;2;0.61
216;FALSE;FALSE;148;4;0;NA;NA;0.68;1.68;0.8
217;FALSE;FALSE;134;1;1;NA;NA;1.46;1.87;0.57
218;FALSE;FALSE;128;4;2;NA;NA;1.71;1.57;0.89
219;FALSE;FALSE;57;5;1;NA;10;2.28;2.5;0.71
220;TRUE;FALSE;54;1;0;NA;NA;0.75;2.42;0.57
221;FALSE;FALSE;29;2;0;NA;NA;1.86;2.46;0.35
222;FALSE;FALSE;177;0;0;NA;NA;1.74;1.84;0.67
223;FALSE;FALSE;152;1;0;NA;NA;1.55;1.23;0.48
224;FALSE;FALSE;137;1;1;NA;NA;2.29;2.2;0.4
