CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
124;FALSE;ras;1;3.47;7.57;0.58;74;NA;50;NA;5;1
125;FALSE;mmas;1;1.6;3.82;0.21;38;NA;NA;NA;23;1
126;FALSE;acs;3;4.1;8.82;0.71;86;0.52;NA;NA;46;0
127;FALSE;ras;0;0.35;1.32;0.95;62;NA;63;NA;NA;NA
128;FALSE;as;2;2.85;6.32;0.46;14;NA;NA;NA;11;1
129;FALSE;ras;2;0.13;3.93;0.81;12;NA;52;NA;45;1
130;FALSE;as;0;2.63;8.93;0.32;60;NA;NA;NA;NA;NA
131;FALSE;acs;1;3.88;6.43;0.56;36;0.8;NA;NA;34;1
132;FALSE;mmas;3;1.38;1.43;0.07;84;NA;NA;NA;11;0
133;FALSE;ras;3;3.26;5.18;0.69;24;NA;40;NA;16;0
134;FALSE;mmas;1;0.76;0.18;0.19;72;NA;NA;NA;39;1
135;FALSE;as;2;4.51;7.68;0.44;96;NA;NA;NA;28;1
136;FALSE;eas;0;2.01;2.68;0.93;48;NA;NA;477;NA;NA
137;FALSE;eas;3;4.82;0.81;0.38;30;NA;NA;712;36;0
138;FALSE;as;1;2.32;5.81;0.87;78;NA;NA;NA;13;1
139;FALSE;acs;0;1.07;8.31;0.13;6;0.74;NA;NA;NA;NA
140;FALSE;mmas;2;3.57;3.31;0.63;54;NA;NA;NA;25;1
141;FALSE;as;3;0.44;7.06;1;66;NA;NA;NA;42;0
142;FALSE;ras;1;2.94;2.06;0.5;18;NA;84;NA;19;1
143;FALSE;eas;0;4.19;4.56;0.75;90;NA;NA;431;NA;NA
144;FALSE;acs;2;1.69;9.56;0.25;42;0.11;NA;NA;8;1
145;FALSE;eas;1;3.41;8.62;0.97;15;NA;NA;688;38;0
146;FALSE;acs;3;0.91;3.62;0.47;63;0.58;NA;NA;15;1
147;FALSE;as;2;2.16;1.12;0.72;39;NA;NA;NA;49;0
148;FALSE;ras;0;4.66;6.12;0.22;87;NA;6;NA;NA;NA
149;FALSE;ras;1;1.54;4.87;0.35;99;NA;93;NA;44;0
