CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
46;FALSE;ras;3;4.19;3.14;0.19;94;NA;75;NA;43;1
47;FALSE;mmas;2;2.94;0.64;0.93;22;NA;NA;NA;8;0
48;FALSE;acs;0;0.44;5.64;0.44;70;0.53;NA;NA;NA;NA
49;FALSE;acs;3;0.28;0.95;0.04;25;0.63;NA;NA;21;0
50;FALSE;mmas;1;2.78;5.95;0.53;73;NA;NA;NA;44;1
51;FALSE;as;2;1.53;3.45;0.78;97;NA;NA;NA;33;1
52;FALSE;ras;0;4.03;8.45;0.28;49;NA;78;NA;NA;NA
53;FALSE;mmas;3;4.66;7.2;0.65;85;NA;NA;NA;15;0
54;FALSE;ras;1;2.16;2.2;0.16;37;NA;16;NA;38;1
55;FALSE;eas;2;3.41;9.7;0.41;13;NA;NA;507;50;1
56;FALSE;as;0;0.91;4.7;0.9;61;NA;NA;NA;NA;NA
57;FALSE;mmas;0;2.47;9.07;0.1;91;NA;NA;NA;NA;NA
58;FALSE;acs;2;4.97;4.07;0.59;43;0.81;NA;NA;7;1
59;FALSE;as;3;3.72;1.57;0.35;67;NA;NA;NA;41;0
60;FALSE;eas;1;1.22;6.57;0.84;19;NA;NA;741;18;1
61;FALSE;as;1;4.35;0.32;0.47;79;NA;NA;NA;12;1
62;FALSE;ras;3;1.85;5.32;0.96;31;NA;59;NA;35;0
63;FALSE;acs;0;3.1;2.82;0.72;7;0.44;NA;NA;NA;NA
64;FALSE;eas;2;0.6;7.82;0.22;55;NA;NA;460;24;1
65;FALSE;eas;1;1.73;9.46;0.34;75;NA;NA;559;21;0
66;FALSE;as;3;4.23;4.46;0.83;27;NA;NA;NA;44;1
67;FALSE;acs;2;2.98;1.96;0.09;99;0.71;NA;NA;10;0
68;FALSE;mmas;0;0.48;6.96;0.58;51;NA;NA;NA;NA;NA
69;FALSE;ras;3;1.1;8.21;0.46;87;NA;5;NA;39;1
70;FALSE;mmas;1;3.6;3.21;0.96;39;NA;NA;NA;16;0
71;FALSE;acs;0;4.85;0.71;0.21;63;0.09;NA;NA;NA;NA
72;FALSE;eas;2;2.35;5.71;0.71;15;NA;NA;653;27;0
73;FALSE;mmas;3;2.67;8.84;0.15;33;NA;NA;NA;13;1
74;FALSE;ras;1;0.17;3.84;0.65;81;NA;74;NA;36;0
75;FALSE;as;0;1.42;1.34;0.4;9;NA;NA;NA;NA;NA
76;FALSE;eas;2;3.92;6.34;0.89;57;NA;NA;700;47;0
77;TRUE;acs;3;2.04;2.59;0.52;69;0.77;NA;NA;19;1
78;FALSE;eas;1;4.54;7.59;0.03;21;NA;NA;419;42;0
79;FALSE;ras;0;3.29;5.09;0.77;93;NA;37;NA;NA;NA
80;FALSE;as;2;0.79;0.09;0.28;45;NA;NA;NA;30;0
81;FALSE;mmas;1;1.88;1.03;0.86;54;NA;NA;NA;37;1
82;FALSE;ras;3;4.38;6.03;0.37;6;NA;21;NA;14;0
83;FALSE;eas;0;0.63;3.53;0.12;30;NA;NA;583;NA;NA
84;FALSE;as;2;3.13;8.53;0.62;78;NA;NA;NA;49;1
85;FALSE;acs;1;2.51;7.28;0.49;42;0.62;NA;NA;43;1
86;FALSE;mmas;3;0.01;2.28;0.99;90;NA;NA;NA;20;0
87;FALSE;as;0;3.76;9.78;0.74;66;NA;NA;NA;NA;NA
88;FALSE;ras;2;1.26;4.78;0.24;18;NA;84;NA;32;1
89;FALSE;as;3;1.57;6.65;0.06;60;NA;NA;NA;34;0
90;FALSE;ras;1;4.07;1.65;0.55;12;NA;52;NA;11;1
91;FALSE;acs;2;0.32;9.15;0.8;36;0.3;NA;NA;23;1
92;FALSE;eas;0;2.82;4.15;0.31;84;NA;NA;723;NA;NA
93;FALSE;acs;0;2.2;7.9;0.93;24;0.93;NA;NA;NA;NA
94;FALSE;mmas;2;4.7;2.9;0.43;72;NA;NA;NA;6;1
95;FALSE;eas;3;3.45;0.4;0.68;48;NA;NA;442;40;0
96;FALSE;as;1;0.95;5.4;0.18;96;NA;NA;NA;17;1
97;FALSE;eas;0;4.62;4.93;0.45;37;NA;NA;196;NA;NA
98;FALSE;as;2;2.12;9.93;0.94;85;NA;NA;NA;42;1
99;FALSE;mmas;1;3.37;2.43;0.69;61;NA;NA;NA;31;1
100;FALSE;acs;3;0.87;7.43;0.2;13;0.48;NA;NA;8;0
101;FALSE;eas;3;3.99;1.18;0.57;97;NA;NA;102;25;0
