network_name;problem_type;best_known_solution;number_of_runs;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;edges_tendency;regular_start_nodes;elite_start_nodes;regular_start_configuration_rate;elite_start_configuration_rate;regular_configuration_rate;elite_configuration_rate;best_nodes;average_degree;average_in_degree;average_out_degree;average_regular_in_degree;average_regular_out_degree;average_elite_in_degree;average_elite_out_degree;average_best_in_degree;average_best_out_degree;best_strength_in;start_best_nodes;standard_best_nodes;end_best_nodes;average_path_length;paths;components;average_configurations_survival_rates;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate
BL-L1;min;0.10114175;20;8875;8438;436;1738;7007;130;7055;6165;0;890;0.126151665485471;1738;0;1;0;0.890862401027177;0.109137598972823;1;1.58985915492958;0.794929577464789;0.794929577464789;0.794027020621;0;0.811926605504587;16.1811926605505;1;0;0.05;0;1;0;NA;0;1820;0.191082087382342;0.000112676056338028;0.950760563380282;0.0491267605633803;0.195830985915493;0.789521126760563;0.0146478873239437;0.873848334514529;0;0.126151665485471
BL-L2;min;0.10114175;20;8850;8413;436;1736;6985;129;7046;6138;0;908;0.128867442520579;1736;0;1;0;0.890446132448914;0.109553867551086;1;1.59231638418079;0.796158192090396;0.796158192090396;0.795316771662903;0;0.811926605504587;16.1605504587156;1;0;0.05;0;1;0;NA;0;1811;0.191082087382342;0.000112994350282486;0.950621468926554;0.0492655367231638;0.196158192090395;0.789265536723164;0.0145762711864407;0.871132557479421;0;0.128867442520579
BL-L3;min;0.11848536;20;8492;8063;428;1732;6665;95;6926;5941;0;985;0.142217730291655;1732;0;1;0;0.880170575692964;0.119829424307036;1;1.63118228921338;0.815591144606689;0.815591144606689;0.808135929554756;0;0.955607476635514;16.1822429906542;1;0;0.05;0;1;0;NA;0;1783;0.191082087382342;0.000117757889778615;0.949481865284974;0.0504003768252473;0.203956665096561;0.78485633537447;0.0111869995289684;0.857782269708345;0;0.142217730291655
BL-L4;min;0.11231319;20;7721;7312;408;1708;5959;54;6738;5652;0;1086;0.161175422974176;1708;0;1;0;0.858704883227176;0.141295116772824;1;1.74536977075508;0.872684885377542;0.872684885377542;0.848605032822757;0;1.30392156862745;16.5147058823529;1;0;0.05;0;1;0;NA;0;1744;0.191082087382342;0.000129516901955705;0.947027587100117;0.0528428959979277;0.221214868540345;0.771791218754047;0.00699391270560808;0.838824577025824;0;0.161175422974176
BL-L5;min;0.13537276;20;6652;6267;384;1615;5018;19;6488;5194;0;1294;0.19944512946979;1615;0;1;0;0.808692893401015;0.191307106598985;1;1.95069152134696;0.975345760673482;0.975345760673482;0.901707355991703;0;2.17708333333333;16.8958333333333;1;0;0.05;0;1;0;NA;0;1629;0.191082087382342;0.000150330727600722;0.942122669873722;0.0577269993986771;0.242784125075165;0.754359591100421;0.00285628382441371;0.80055487053021;0;0.19944512946979
BL-45-L1;min;0.1372784;20;5538;5107;430;832;3902;804;4638;4054;0;584;0.125916343251401;832;0;1;0;0.83486414083429;0.16513585916571;1;1.67497291440953;0.837486457204767;0.837486457204767;0.837086352065792;0;0.841860465116279;10.7860465116279;1;0;0.05;0;0;1;NA;0;900;0.153280423280423;0.000180570603105814;0.922174070061394;0.0776453593355002;0.150234741784038;0.704586493318888;0.145178764897075;0.874083656748599;0;0.125916343251401
BL-45-L2;min;0.1372784;20;5531;5100;430;832;3901;798;4633;4030;0;603;0.130153248435139;832;0;1;0;0.834639648250812;0.165360351749188;1;1.67528475863316;0.837642379316579;0.837642379316579;0.837254901960784;0;0.841860465116279;10.7744186046512;1;0;0.05;0;0;1;NA;0;900;0.153280423280423;0.000180799132164166;0.922075574037245;0.0777436268305912;0.150424877960586;0.70529741457241;0.144277707467004;0.869846751564861;0;0.130153248435139
BL-45-L3;min;0.16305641;20;5357;4930;426;832;3837;688;4561;3900;0;661;0.144924358693269;832;0;1;0;0.826095166163142;0.173904833836858;1;1.70281874183312;0.851409370916558;0.851409370916558;0.84604462474645;0;0.913145539906103;10.6784037558685;1;12;0.1;0;1;0;NA;0;875;0.153280423280423;0.000186671644577189;0.92029120776554;0.0795221205898824;0.155310808288221;0.716259100242673;0.128430091469106;0.855075641306731;0;0.144924358693269
BL-45-L4;min;0.1708872;20;4963;4550;412;829;3646;488;4427;3695;0;732;0.165348994804608;829;0;1;0;0.806953339432754;0.193046660567246;1;1.78400161192827;0.892000805964135;0.892000805964135;0.871648351648352;0;1.11650485436893;10.745145631068;1;0;0.05;0;0;1;NA;0;865;0.153280423280423;0.000201491033649003;0.916784203102962;0.0830143058633891;0.167036066895023;0.734636308684264;0.0983276244207133;0.834651005195392;0;0.165348994804608
BL-45-L5;min;0.16305641;20;4394;4008;385;806;3298;290;4293;3501;0;792;0.184486373165618;806;0;1;0;0.771393210749646;0.228606789250354;1;1.95402822030041;0.977014110150205;0.977014110150205;0.924151696606786;0;1.52727272727273;11.1246753246753;1;10;0.1;0;1;0;NA;0;832;0.153280423280423;0.000227583067819754;0.912152935821575;0.0876194811106054;0.183431952662722;0.750568957669549;0.0659990896677287;0.815513626834382;0;0.184486373165618
