CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
48;FALSE;43;0;1;NA;NA;1.51;0.24;0.29
49;FALSE;143;3;0;NA;NA;0.26;1.49;0.74
50;TRUE;68;2;0;NA;NA;1.83;1.18;0.63
51;FALSE;118;1;1;NA;NA;1.2;0.55;0.41
52;FALSE;18;4;2;NA;NA;2.45;1.8;0.86
53;FALSE;155;0;0;NA;NA;0.11;0.39;0.35
54;TRUE;56;4;2;NA;NA;1.36;1.64;0.8
55;FALSE;105;5;2;NA;5;0.73;2.27;0.13
56;TRUE;6;2;1;NA;NA;1.98;1.02;0.58
57;FALSE;130;3;1;NA;NA;0.42;0.71;0.46
58;FALSE;31;6;0;4;NA;1.67;1.96;0.01
59;FALSE;80;1;2;NA;NA;2.29;0.08;0.24
60;TRUE;180;4;0;NA;NA;1.04;1.33;0.69
61;FALSE;51;0;2;NA;NA;0.05;1.23;0.71
62;FALSE;150;4;1;NA;NA;1.3;2.48;0.26
63;FALSE;200;2;2;NA;NA;1.92;0.61;0.03
64;FALSE;101;6;0;17;NA;0.67;1.86;0.48
65;FALSE;76;1;1;NA;NA;0.36;0.3;0.15
66;FALSE;163;2;2;NA;NA;1.4;0.8;0.53
67;FALSE;157;4;0;NA;NA;0.49;1.46;0.66
68;FALSE;87;4;1;NA;NA;0.82;1.99;0.34
69;FALSE;164;1;2;NA;NA;1.16;1.91;0.72
70;FALSE;46;4;2;NA;NA;0.78;1.29;0.3
71;FALSE;35;0;2;NA;NA;1;0.63;0.86
72;FALSE;29;0;2;NA;NA;1.18;1.27;0.16
73;FALSE;126;0;0;NA;NA;0.8;0.74;0.46
74;FALSE;11;4;0;NA;NA;1.44;2.18;0.66
75;TRUE;139;0;0;NA;NA;1.87;1.37;0.55
76;FALSE;16;1;2;NA;NA;1.11;1.07;0.55
77;FALSE;127;0;0;NA;NA;1.51;1.36;0.16
78;FALSE;64;2;0;NA;NA;2.27;0.64;0.56
79;FALSE;17;3;0;NA;NA;1.66;1.34;0.78
80;FALSE;27;5;2;NA;9;1.35;1.21;0.85
81;FALSE;179;0;1;NA;NA;0.84;1.81;0.4
82;FALSE;147;4;2;NA;NA;0.82;1.85;0.57
83;FALSE;5;6;1;4;NA;0.57;2.3;0.86
84;FALSE;114;2;2;NA;NA;0.7;1.63;0.89
85;FALSE;185;1;0;NA;NA;0.94;1.57;0.24
86;FALSE;80;4;1;NA;NA;1.43;1.65;0.67
87;FALSE;152;2;0;NA;NA;1.99;0.72;0.1
88;FALSE;149;1;1;NA;NA;1.86;2.36;0.45
89;TRUE;26;2;1;NA;NA;1.04;1.08;0.88
90;FALSE;180;5;0;NA;2;1.35;1.1;0.34
91;FALSE;22;6;0;11;NA;2.42;1.58;0.79
92;FALSE;54;3;2;NA;NA;2.13;1.13;0.59
93;FALSE;39;1;0;NA;NA;2.38;0.04;0.2
94;FALSE;78;3;1;NA;NA;1.83;0.88;0.4
95;FALSE;79;4;2;NA;NA;2.34;1.02;0.61
96;FALSE;83;6;1;16;NA;0.86;0.81;0.89
97;FALSE;66;5;2;NA;2;2.47;0.02;0.49
98;TRUE;143;5;0;NA;5;1.84;1.24;0.41
99;FALSE;93;4;0;NA;NA;0.85;1.29;0.18
100;FALSE;169;3;0;NA;NA;1.9;0.63;0.86
101;FALSE;178;2;1;NA;NA;1.7;0.02;0.22
102;FALSE;51;5;2;NA;8;0.47;1.78;0.07
103;FALSE;35;1;1;NA;NA;2.21;1.78;0.61
104;FALSE;198;1;0;NA;NA;1.31;1.53;0.56
105;FALSE;6;2;2;NA;NA;1.65;0.46;0.76
106;FALSE;52;2;0;NA;NA;1.34;0.57;0.86
107;FALSE;44;3;0;NA;NA;1.37;0.94;0.87
108;FALSE;43;1;0;NA;NA;1.09;1.48;0.09
109;FALSE;13;2;2;NA;NA;2.16;0.44;0.54
110;FALSE;52;5;0;NA;9;1.86;0.37;0.59
111;FALSE;26;1;1;NA;NA;2.12;0.96;0.7
112;FALSE;106;1;2;NA;NA;2.37;1.12;0.87
113;FALSE;168;5;2;NA;10;1.72;1.74;0.02
114;TRUE;99;4;2;NA;NA;1.98;2.2;0.84
115;FALSE;80;0;1;NA;NA;2.41;2.31;0.77
116;FALSE;132;4;2;NA;NA;1.74;2.49;0.75
117;FALSE;87;4;2;NA;NA;0.45;1.52;0.69
118;FALSE;25;1;0;NA;NA;1.27;0.27;0.87
119;FALSE;43;4;1;NA;NA;1.31;1.19;0.62
120;FALSE;149;5;0;NA;3;1.55;2.06;0.22
121;FALSE;46;4;2;NA;NA;1.95;1.51;0.73
122;FALSE;121;4;2;NA;NA;1.76;2.09;0.55
123;FALSE;17;2;1;NA;NA;1.29;1.84;0.64
124;TRUE;44;4;0;NA;NA;1.88;1.97;0.53
125;FALSE;85;4;2;NA;NA;2.2;1.7;0.69
126;FALSE;12;2;1;NA;NA;0.9;1.03;0.81
127;FALSE;72;5;2;NA;10;2.17;1.05;0.48
128;TRUE;112;4;2;NA;NA;2.5;2.44;0.82
129;TRUE;90;4;2;NA;NA;2.09;2.44;0.82
130;FALSE;97;3;2;NA;NA;2.19;2.48;0.76
131;FALSE;45;4;1;NA;NA;0.75;0.55;0.79
132;FALSE;144;4;2;NA;NA;1.57;2;0.8
133;FALSE;80;3;2;NA;NA;2.06;0.96;0.45
134;FALSE;90;0;0;NA;NA;1.8;2.08;0.83
135;FALSE;135;4;0;NA;NA;1.89;1.07;0.45
136;FALSE;31;4;1;NA;NA;1;2.23;0.78
137;FALSE;159;5;0;NA;4;1.61;1.49;0.36
138;FALSE;120;5;0;NA;8;1.89;0.95;0.36
139;FALSE;64;5;0;NA;10;1.7;2.01;0.86
140;FALSE;18;4;0;NA;NA;1.54;0.65;0.79
141;FALSE;125;1;2;NA;NA;2.34;1.72;0.73
142;FALSE;92;3;2;NA;NA;1.45;2.14;0.85
143;TRUE;8;1;1;NA;NA;0.97;1.21;0.57
144;FALSE;71;0;0;NA;NA;1.99;1.35;0.48
145;FALSE;88;4;2;NA;NA;1.05;1.4;0.88
146;FALSE;120;0;2;NA;NA;0.81;1.7;0.83
147;FALSE;77;2;2;NA;NA;1.25;2.04;0.73
148;FALSE;99;4;2;NA;NA;2.35;2.29;0.88
