CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
37;FALSE;acs;2;1.22;5.22;0.98;96;0.64;NA;NA;7;0
38;FALSE;eas;0;3.72;0.22;0.48;48;NA;NA;608;NA;NA
39;FALSE;mmas;3;2.47;7.72;0.23;24;NA;NA;NA;42;1
40;FALSE;ras;1;4.97;2.72;0.73;72;NA;71;NA;19;0
41;TRUE;acs;3;4.03;9.59;0.42;66;0.83;NA;NA;21;1
42;FALSE;mmas;1;1.53;4.59;0.92;18;NA;NA;NA;44;0
43;FALSE;eas;0;0.28;2.09;0.17;90;NA;NA;749;NA;NA
44;FALSE;as;2;2.78;7.09;0.67;42;NA;NA;NA;33;0
45;FALSE;acs;1;3.4;8.34;0.3;78;0.45;NA;NA;39;0
46;FALSE;eas;3;0.9;3.34;0.79;30;NA;NA;467;16;1
47;FALSE;ras;2;2.15;0.84;0.05;54;NA;89;NA;50;0
48;FALSE;as;0;4.65;5.84;0.54;6;NA;NA;NA;NA;NA
49;FALSE;mmas;0;1.06;8.66;0.64;87;NA;NA;NA;NA;NA
50;FALSE;acs;2;3.56;3.66;0.14;39;0.36;NA;NA;26;1
51;FALSE;eas;1;2.31;6.16;0.39;15;NA;NA;397;14;1
52;FALSE;as;3;4.81;1.16;0.88;63;NA;NA;NA;37;0
53;FALSE;ras;3;0.43;7.41;0.27;51;NA;24;NA;43;0
54;FALSE;mmas;1;2.93;2.41;0.76;99;NA;NA;NA;20;1
55;FALSE;acs;0;4.18;4.91;0.02;27;0.98;NA;NA;NA;NA
56;FALSE;eas;2;1.68;9.91;0.51;75;NA;NA;678;9;1
57;FALSE;mmas;3;3.25;5.53;0.08;93;NA;NA;NA;17;0
58;FALSE;ras;1;0.75;0.53;0.57;45;NA;55;NA;40;1
59;FALSE;eas;2;4.5;8.03;0.82;21;NA;NA;631;29;1
60;FALSE;as;0;2;3.03;0.33;69;NA;NA;NA;NA;NA
61;FALSE;ras;0;2.62;9.28;0.95;33;NA;42;NA;NA;NA
62;FALSE;as;2;0.12;4.28;0.45;81;NA;NA;NA;46;1
63;FALSE;acs;3;1.37;1.78;0.7;9;0.17;NA;NA;11;0
64;FALSE;eas;1;3.87;6.78;0.2;57;NA;NA;538;34;1
65;FALSE;eas;2;2.5;5.92;0.32;72;NA;NA;438;31;0
66;FALSE;as;0;0;0.92;0.81;24;NA;NA;NA;NA;NA
67;FALSE;mmas;3;3.75;8.42;0.57;48;NA;NA;NA;20;1
68;FALSE;acs;1;1.25;3.42;0.07;96;0.93;NA;NA;43;0
69;FALSE;ras;0;4.38;7.17;0.44;84;NA;95;NA;NA;NA
70;FALSE;as;2;1.88;2.17;0.94;36;NA;NA;NA;48;0
71;FALSE;eas;1;3.13;9.67;0.69;12;NA;NA;719;37;0
72;FALSE;acs;3;0.63;4.67;0.2;60;0.3;NA;NA;14;1
73;FALSE;eas;2;0.94;6.55;0.01;18;NA;NA;485;5;0
74;FALSE;acs;0;3.44;1.55;0.51;66;0.62;NA;NA;NA;NA
75;FALSE;mmas;1;4.69;4.05;0.26;42;NA;NA;NA;17;0
76;FALSE;ras;3;2.19;9.05;0.75;90;NA;63;NA;40;1
77;FALSE;as;3;2.82;2.8;0.38;6;NA;NA;NA;34;1
78;FALSE;ras;1;0.32;7.8;0.88;54;NA;1;NA;11;0
79;FALSE;acs;2;4.07;0.3;0.63;78;0.24;NA;NA;23;0
80;FALSE;mmas;0;1.57;5.3;0.13;30;NA;NA;NA;NA;NA
