CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
209;FALSE;acs;3;4.52;5.42;0.1;25;0.16;NA;NA;23;1
210;FALSE;ras;3;2.93;1.67;0.7;26;NA;22;NA;36;0
211;FALSE;acs;3;2.08;9.2;0.53;18;0.04;NA;NA;34;1
212;FALSE;acs;3;4.02;7.01;0.23;45;0.02;NA;NA;17;1
213;FALSE;acs;3;2.91;0.79;0.56;46;0.24;NA;NA;29;0
214;FALSE;mmas;3;2.32;9.96;0.63;27;NA;NA;NA;19;1
215;FALSE;acs;3;4.57;6.26;0.38;71;0.05;NA;NA;24;0
216;FALSE;mmas;2;2.61;1.83;0.09;18;NA;NA;NA;20;1
217;FALSE;ras;2;2.56;0.57;0.38;31;NA;52;NA;20;1
218;FALSE;as;3;4.72;5.79;0.39;62;NA;NA;NA;27;0
219;FALSE;eas;3;3.98;6.63;0.15;81;NA;NA;586;31;1
220;FALSE;ras;3;4.52;0.67;0.03;13;NA;42;NA;12;0
221;FALSE;acs;3;3.25;9.07;0.39;23;0.2;NA;NA;17;0
222;FALSE;acs;3;2.9;4.24;0.2;40;0.02;NA;NA;31;0
223;FALSE;ras;3;2.36;0.15;0.84;34;NA;21;NA;37;0
224;FALSE;mmas;3;2.07;4.73;0.22;5;NA;NA;NA;13;1
225;FALSE;acs;3;3.27;5.79;0.16;32;0.8;NA;NA;6;1
226;FALSE;as;3;4.15;9.71;0.26;17;NA;NA;NA;26;1
227;FALSE;mmas;0;2.24;1.34;0.43;14;NA;NA;NA;NA;NA
228;TRUE;acs;3;3.4;1.39;0.36;5;0.27;NA;NA;16;1
229;FALSE;ras;3;4.17;9.01;0.07;12;NA;6;NA;21;1
230;FALSE;acs;3;3.68;4.82;0.6;45;0.01;NA;NA;17;1
231;FALSE;ras;1;1.26;2.88;0.45;50;NA;60;NA;45;1
232;FALSE;as;2;3.71;5.68;0.49;39;NA;NA;NA;35;1
233;FALSE;eas;3;2.84;1.78;0.72;35;NA;NA;169;26;0
234;FALSE;ras;3;4.22;2.41;0.11;24;NA;36;NA;11;1
235;TRUE;acs;3;3.47;4.4;0.27;16;0.12;NA;NA;28;1
236;FALSE;eas;1;1.29;3.6;0.17;47;NA;NA;374;11;1
237;FALSE;ras;3;4.83;9.61;0.34;26;NA;98;NA;28;0
238;FALSE;acs;3;3.79;5.44;0.13;34;0.03;NA;NA;24;1
239;FALSE;acs;3;2.34;2.58;0.11;30;0.05;NA;NA;16;0
240;FALSE;acs;3;4.87;7.05;0.08;26;0.11;NA;NA;40;0
241;FALSE;ras;3;4.23;1.06;0.61;15;NA;77;NA;47;0
242;FALSE;acs;3;4.48;3.41;0.27;5;0.12;NA;NA;28;0
243;FALSE;ras;3;1.58;1.62;0.81;37;NA;16;NA;14;0
244;FALSE;mmas;2;4.6;6.87;0.4;69;NA;NA;NA;18;1
245;FALSE;ras;2;3.89;6.78;0.14;48;NA;53;NA;26;0
246;FALSE;mmas;3;3.42;5.62;0.48;21;NA;NA;NA;18;1
247;FALSE;acs;3;4.82;8.38;0.24;50;0.52;NA;NA;18;0
248;FALSE;ras;2;3.07;0.57;0.58;25;NA;43;NA;42;1
249;FALSE;ras;2;4.26;7.3;0.32;38;NA;90;NA;20;1
250;FALSE;ras;3;2.66;0.72;0.66;58;NA;48;NA;32;1
251;FALSE;ras;0;4.72;7.94;0.02;64;NA;11;NA;NA;NA
252;FALSE;acs;0;4.68;5.74;0.31;25;0.09;NA;NA;NA;NA
253;FALSE;ras;3;2.26;0.01;0.72;8;NA;31;NA;38;1
254;TRUE;acs;3;3.32;5.76;0.18;31;0.54;NA;NA;23;1
255;FALSE;mmas;3;3.17;2.88;0.15;19;NA;NA;NA;18;1
256;FALSE;mmas;3;4.59;6.06;0.17;29;NA;NA;NA;25;0
257;FALSE;ras;0;2.47;0.43;0.54;16;NA;54;NA;NA;NA
258;FALSE;mmas;0;1.6;3.8;0.41;6;NA;NA;NA;NA;NA
259;FALSE;eas;3;3.51;9.21;0.04;21;NA;NA;223;14;1
260;FALSE;mmas;1;2.29;3.5;0.19;16;NA;NA;NA;26;1
261;FALSE;acs;3;3.25;4.31;0.37;12;0.13;NA;NA;25;1
262;FALSE;acs;3;1.78;2.16;0.31;61;0.22;NA;NA;33;1
263;FALSE;acs;0;3.49;5.24;0.24;13;0.06;NA;NA;NA;NA
264;FALSE;acs;3;0.92;5.64;0.11;32;0.2;NA;NA;13;1
265;FALSE;acs;3;3.75;7.54;0.32;6;0.03;NA;NA;24;1
266;FALSE;acs;3;3.88;4.67;0.5;23;0.35;NA;NA;38;0
267;FALSE;acs;3;0.88;5.8;0.2;33;0.36;NA;NA;7;0
268;FALSE;acs;3;3.01;4.49;0.35;18;0.32;NA;NA;33;1
269;FALSE;acs;3;2.57;0.57;0.38;50;0.16;NA;NA;30;1
270;FALSE;acs;3;4.27;2.64;0.18;44;0.18;NA;NA;29;1
271;FALSE;acs;3;2.85;1.9;0.4;52;0.23;NA;NA;27;1
272;FALSE;eas;3;2.52;3.01;0.33;12;NA;NA;531;22;1
273;FALSE;acs;2;2.18;4.3;0.55;10;0.42;NA;NA;21;1
274;FALSE;acs;3;2.66;3.04;0.45;29;0.31;NA;NA;24;1
275;FALSE;acs;2;1.59;5.04;0.02;28;0.01;NA;NA;9;1
276;FALSE;acs;3;2.38;2.29;0.28;30;0.29;NA;NA;13;1
277;FALSE;acs;3;1.34;0.14;0.64;38;0.29;NA;NA;36;1
278;TRUE;acs;3;2.11;3.97;0.33;19;0.19;NA;NA;16;1
279;FALSE;acs;2;3.01;3.09;0.32;8;0.43;NA;NA;20;1
280;FALSE;ras;3;3.37;4.93;0.43;36;NA;44;NA;39;1
281;FALSE;acs;3;4.28;2.99;0.35;59;0.25;NA;NA;28;1
282;TRUE;acs;3;2.33;4.86;0.38;51;0.4;NA;NA;21;1
283;FALSE;acs;3;4.45;5.64;0.16;10;0.3;NA;NA;27;0
284;FALSE;acs;3;2;6.64;0.21;28;0.71;NA;NA;15;1
285;FALSE;ras;3;2.76;3.52;0.41;42;NA;38;NA;34;1
286;FALSE;acs;3;2.72;1.7;0.48;13;0.21;NA;NA;8;1
287;FALSE;acs;3;2.91;1.54;0.48;29;0.03;NA;NA;23;1
288;FALSE;acs;3;3.62;2.3;0.45;40;0.3;NA;NA;35;1
289;FALSE;acs;3;2.48;2.7;0.33;6;0.54;NA;NA;14;1
290;FALSE;ras;3;3.16;7.7;0.08;27;NA;88;NA;36;1
291;FALSE;ras;3;2.35;6.16;0.23;36;NA;98;NA;9;1
292;TRUE;acs;3;2.44;5.02;0.1;43;0.54;NA;NA;16;1
293;FALSE;acs;3;3.05;3.05;0.4;48;0.35;NA;NA;39;1
294;FALSE;acs;3;2.43;3.48;0.76;53;0.08;NA;NA;39;1
295;FALSE;acs;0;4.45;1.86;0.24;23;0.39;NA;NA;NA;NA
296;FALSE;acs;2;3.09;1.4;0.4;5;0.02;NA;NA;13;1
297;FALSE;acs;3;2.7;3.97;0.53;39;0.02;NA;NA;19;1
298;FALSE;ras;3;3.12;6.01;0.25;20;NA;39;NA;29;1
299;FALSE;acs;3;0.88;7.7;0.21;14;0.18;NA;NA;11;1
300;FALSE;acs;3;3.71;5.28;0.49;35;0.32;NA;NA;26;1
301;FALSE;acs;3;2.95;4.21;0.13;57;0.46;NA;NA;7;1
302;FALSE;acs;3;3.8;2.53;0.66;36;0.07;NA;NA;29;1
303;FALSE;acs;3;3.8;3.44;0.47;8;0.27;NA;NA;21;1
304;FALSE;acs;3;3.86;1.87;0.45;25;0.15;NA;NA;23;1
305;FALSE;acs;3;4.17;4.47;0.47;42;0.05;NA;NA;17;1
306;FALSE;acs;3;2.73;2.23;0.48;58;0.03;NA;NA;26;1
307;FALSE;as;3;3.2;4.12;0.42;40;NA;NA;NA;30;1
308;FALSE;acs;3;3.29;4.31;0.3;24;0.3;NA;NA;38;1
309;FALSE;acs;3;2.78;5.58;0.19;9;0.38;NA;NA;26;1
310;FALSE;acs;3;1.84;8.3;0.13;44;0.45;NA;NA;17;1
311;TRUE;acs;3;3.1;6.34;0.15;42;0.21;NA;NA;10;1
312;FALSE;acs;3;2.66;3.25;0.31;32;0.39;NA;NA;7;1
