network_name;problem_type;number_of_runs;best_known_solution;components;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;average_regular_in_degree;average_elite_in_degree;average_elite_out_degree;best_nodes;average_best_in_degree;average_best_out_degree;best_strength_in;start_best_nodes;standard_best_nodes;end_best_nodes;average_path_length;paths;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate
BH-65-L4;min;20;0.24144377;1034;3686;3407;279;1253;0;434;3669;581;0;3088;0.89521573231582;2.21863799283154;13.1505376344086;1;4;11;0.35;0;0;1;7.61538461538461;39;0.000271296798697775;0.924308193163321;0.0756918068366793;0.339934888768313;0;0.117742810634835;0.158353774870537;0;0.841646225129463
BH-65-L5;min;20;0.24144377;813;2848;2615;233;1191;0;298;3327;546;0;2781;1.00764818355641;2.96995708154506;14.2789699570815;1;6;21;0.6;0;0;1;5.53333333333333;60;0.000351123595505618;0.918188202247191;0.081811797752809;0.418188202247191;0;0.104634831460674;0.164111812443643;0;0.835888187556357
BL-L0;min;20;0.19521317;1317;4364;4016;348;1317;0;807;3047;401;0;2646;0.696962151394422;0.71264367816092;8.75574712643678;1;1;0;0.1;0;0;1;8;1;0.000229147571035747;0.92025664527956;0.07974335472044;0.301787351054079;0;0.184922089825848;0.131604857236626;0;0.868395142763374
BL-L1;min;20;0.19521317;1317;4361;4014;347;1317;0;806;3044;400;0;2644;0.696811160936721;0.711815561959654;8.77233429394813;1;1;0;0.1;0;0;1;8;1;0.000229305205228159;0.920431093785829;0.0795689062141711;0.301994955285485;0;0.184819995413896;0.131406044678055;0;0.868593955321945
BL-L2;min;20;0.19521317;1287;4250;3912;338;1314;0;748;3004;406;0;2598;0.700920245398773;0.775147928994083;8.88757396449704;1;1;0;0.1;0;0;1;7;3;0.000235294117647059;0.920470588235294;0.0795294117647059;0.309176470588235;0;0.176;0.135153129161119;0;0.864846870838881
BL-L3;min;20;0.19521317;1221;3877;3566;311;1309;0;605;2863;389;0;2474;0.712843522153674;1.03215434083601;9.20578778135048;1;1;9;0.2;0;0;1;8.71428571428571;7;0.000257931390250193;0.91978333763219;0.0802166623678102;0.337632189837503;0;0.156048491101367;0.135871463499825;0;0.864128536500175
BL-L4;min;20;0.19521317;1096;3378;3093;285;1284;0;483;2746;415;0;2331;0.746847720659554;1.52982456140351;9.63508771929825;1;4;28;0.3;0;0;1;6.70967741935484;31;0.00029603315571344;0.91563055062167;0.0843694493783304;0.380106571936057;0;0.142984014209591;0.151128914785142;0;0.848871085214858
BL-L5;min;20;0.19521317;885;2647;2398;249;1204;0;364;2551;397;0;2154;0.844036697247706;2.11646586345382;10.2449799196787;1;4;0;0.65;0;0;1;7.0188679245283;53;0.000377786173026067;0.905931242916509;0.0940687570834907;0.454854552323385;0;0.137514166981488;0.15562524500196;0;0.84437475499804
BL-32-L0;min;20;0.23225396;640;2882;2516;366;640;0;640;2242;351;0;1891;0.785373608903021;0.726775956284153;6.12568306010929;1;1;0;0.05;0;0;1;4;1;0.000346981263011797;0.873004857737682;0.126995142262318;0.22206800832755;0;0.22206800832755;0.156556645851918;0;0.843443354148082
BL-32-L1;min;20;0.23225396;640;2881;2515;366;640;0;640;2241;351;0;1890;0.785288270377734;0.726775956284153;6.12295081967213;1;1;0;0.05;0;0;1;4;1;0.000347101700798334;0.87296077750781;0.12703922249219;0.222145088510934;0;0.222145088510934;0.156626506024096;0;0.843373493975904
BL-32-L2;min;20;0.23225396;613;2810;2450;360;638;0;602;2215;352;0;1863;0.793061224489796;0.755555555555556;6.15277777777778;1;1;0;0.05;0;0;1;5.5;2;0.000355871886120996;0.871886120996441;0.128113879003559;0.227046263345196;0;0.21423487544484;0.158916478555305;0;0.841083521444695
BL-32-L3;min;20;0.23225396;581;2563;2225;338;638;0;485;2115;354;0;1761;0.805393258426966;0.955621301775148;6.25739644970414;1;4;0;0.2;0;0;1;5;7;0.000390167772142021;0.868123293015997;0.131876706984003;0.248927038626609;0;0.18923136948888;0.167375886524823;0;0.832624113475177
BL-32-L4;min;20;0.23225396;522;2216;1907;309;633;0;376;2004;364;0;1640;0.846879916098584;1.2588996763754;6.48543689320388;1;1;0;0.1;0;0;1;5;1;0.000451263537906137;0.860559566787004;0.139440433212996;0.285649819494585;0;0.169675090252708;0.181636726546906;0;0.818363273453094
BL-32-L5;min;20;0.23225396;450;1857;1581;276;620;0;280;1866;363;0;1503;0.869702719797597;1.77898550724638;6.76086956521739;1;5;4;0.5;0;0;1;12.2972972972973;37;0.00053850296176629;0.851373182552504;0.148626817447496;0.3338718362951;0;0.150780829294561;0.194533762057878;0;0.805466237942122
