network_name;problem_type;number_of_runs;best_known_solution;components;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;average_regular_in_degree;average_elite_in_degree;average_elite_out_degree;best_nodes;average_best_in_degree;average_best_out_degree;best_strength_in;start_best_nodes;standard_best_nodes;end_best_nodes;average_path_length;paths;configurations;regular_configurations;elite_configurations;start_configurations;standard_configurations;end_configurations;regular_start_configurations;regular_standard_configurations;regular_end_configurations;elite_start_configurations;elite_standard_configurations;elite_end_configurations;max_configurations;min_configurations;max_regular_configurations;min_regular_configurations;max_elite_configurations;min_elite_configurations;max_start_configurations;min_start_configurations;max_standard_configurations;min_standard_configurations;max_end_configurations;min_end_configurations;max_regular_start_configurations;min_regular_start_configurations;max_regular_standard_configurations;min_regular_standard_configurations;max_regular_end_configurations;min_regular_end_configurations;max_elite_start_configurations;min_elite_start_configurations;max_elite_standard_configurations;min_elite_standard_configurations;max_elite_end_configurations;min_elite_end_configurations;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate;regular_configurations_rate;elite_configurations_rate;start_configurations_rate;standard_configurations_rate;end_configurations_rate;regular_start_configurations_rate;regular_standard_configurations_rate;regular_end_configurations_rate;elite_start_configurations_rate;elite_standard_configurations_rate;elite_end_configurations_rate
BL-L1;min;20;0.19521317;1317;4360;4013;347;1317;2247;796;3043;400;0;2643;0.696735609269873;0.711815561959654;8.76945244956772;1;1;0;0.1;0;0;0;NA;NA;4364;4016;348;1265.5;2343;755.5;1217;2157;642;48.5;186;113.5;2;1;2;0;2;0;1;0;2;0;2;0;1;0;1;0;2;0;0.5;0;1;0;1.33333333333333;0;0.000229357798165138;0.920412844036697;0.0795871559633027;0.302064220183486;0.515366972477064;0.18256880733945;0.131449227735787;0;0.868550772264213;0.92025664527956;0.07974335472044;0.289986251145738;0.536892758936755;0.173120989917507;0.278872593950504;0.494271310724106;0.14711274060495;0.0111136571952337;0.0426214482126489;0.0260082493125573
BL-L2;min;20;0.19521317;1287;4250;3912;338;1314;2198;738;3004;406;0;2598;0.700920245398773;0.775147928994083;8.88757396449704;1;1;0;0.1;0;0;0;NA;NA;4364;4016;348;1265.5;2343;755.5;1217;2157;642;48.5;186;113.5;4;1;4;0;3;0;2;0;2;0;4;0;2;0;2;0;4;0;0.5;0;1.5;0;1.5;0;0.000235294117647059;0.920470588235294;0.0795294117647059;0.309176470588235;0.517176470588235;0.173647058823529;0.135153129161119;0;0.864846870838881;0.92025664527956;0.07974335472044;0.289986251145738;0.536892758936755;0.173120989917507;0.278872593950504;0.494271310724106;0.14711274060495;0.0111136571952337;0.0426214482126489;0.0260082493125573
BL-L3;min;20;0.19521317;1221;3877;3566;311;1309;1980;588;2863;389;0;2474;0.712843522153674;1.03215434083601;9.20578778135048;1;1;9;0.2;0;0;0;NA;NA;4364;4016;348;1265.5;2343;755.5;1217;2157;642;48.5;186;113.5;11;1;9;0;5;0;2;0;5.5;0;7;0;2;0;4;0;6;0;0.5;0;2;0;4;0;0.000257931390250193;0.91978333763219;0.0802166623678102;0.337632189837503;0.510704152695383;0.151663657467114;0.135871463499825;0;0.864128536500175;0.92025664527956;0.07974335472044;0.289986251145738;0.536892758936755;0.173120989917507;0.278872593950504;0.494271310724106;0.14711274060495;0.0111136571952337;0.0426214482126489;0.0260082493125573
BL-L4;min;20;0.19521317;1096;3378;3093;285;1284;1642;452;2746;415;0;2331;0.746847720659554;1.52982456140351;9.63508771929825;1;4;28;0.3;0;0;0;NA;NA;4364;4016;348;1265.5;2343;755.5;1217;2157;642;48.5;186;113.5;22;1;20;0;5;0;3;0;6.5;0;20.5;0;3;0;6;0;20;0;0.5;0;2.5;0;4;0;0.00029603315571344;0.91563055062167;0.0843694493783304;0.380106571936057;0.486086441681468;0.133806986382475;0.151128914785142;0;0.848871085214858;0.92025664527956;0.07974335472044;0.289986251145738;0.536892758936755;0.173120989917507;0.278872593950504;0.494271310724106;0.14711274060495;0.0111136571952337;0.0426214482126489;0.0260082493125573
BL-L5;min;20;0.19521317;885;2647;2398;249;1204;1138;305;2551;397;0;2154;0.844036697247706;2.11646586345382;10.2449799196787;1;4;0;0.65;0;0;0;NA;NA;4364;4016;348;1265.5;2343;755.5;1217;2157;642;48.5;186;113.5;27;1;21;0;9;0;4;0;13.5;0;15;0;4;0;11;0;12;0;1;0;4;0;7;0;0.000377786173026067;0.905931242916509;0.0940687570834907;0.454854552323385;0.429920664903665;0.115224782772951;0.15562524500196;0;0.84437475499804;0.92025664527956;0.07974335472044;0.289986251145738;0.536892758936755;0.173120989917507;0.278872593950504;0.494271310724106;0.14711274060495;0.0111136571952337;0.0426214482126489;0.0260082493125573
BL-32-L1;min;20;0.23225396;639;2881;2515;366;640;1606;635;2242;351;0;1891;0.785685884691849;0.726775956284153;6.12568306010929;1;1;0;0.05;0;0;0;NA;NA;2882;2516;366;589.333333333333;1703.33333333333;589.333333333333;540;1502;474;49.3333333333333;201.333333333333;115.333333333333;2;1;2;0;1;0;1;0;1;0;2;0;1;0;1;0;2;0;0.5;0;1;0;1;0;0.000347101700798334;0.87296077750781;0.12703922249219;0.222145088510934;0.557445331482124;0.220409580006942;0.156556645851918;0;0.843443354148082;0.873004857737682;0.126995142262318;0.204487624334953;0.591024751330095;0.204487624334953;0.187369882026371;0.52116585704372;0.164469118667592;0.017117742308582;0.0698588942863752;0.0400185056673606
BL-32-L2;min;20;0.23225396;613;2810;2450;360;638;1574;598;2215;352;0;1863;0.793061224489796;0.755555555555556;6.15277777777778;1;1;0;0.05;0;0;0;NA;NA;2882;2516;366;589.333333333333;1703.33333333333;589.333333333333;540;1502;474;49.3333333333333;201.333333333333;115.333333333333;4;1;3;0;2;0;2;0;2;0;3;0;2;0;2;0;3;0;0.5;0;1;0;2;0;0.000355871886120996;0.871886120996441;0.128113879003559;0.227046263345196;0.560142348754448;0.212811387900356;0.158916478555305;0;0.841083521444695;0.873004857737682;0.126995142262318;0.204487624334953;0.591024751330095;0.204487624334953;0.187369882026371;0.52116585704372;0.164469118667592;0.017117742308582;0.0698588942863752;0.0400185056673606
BL-32-L3;min;20;0.23225396;581;2563;2225;338;638;1449;476;2115;354;0;1761;0.805393258426966;0.955621301775148;6.25739644970414;1;4;0;0.2;0;0;0;NA;NA;2882;2516;366;589.333333333333;1703.33333333333;589.333333333333;540;1502;474;49.3333333333333;201.333333333333;115.333333333333;8;1;6;0;3;0;2;0;4;0;8;0;2;0;4;0;6;0;0.5;0;1.5;0;2.5;0;0.000390167772142021;0.868123293015997;0.131876706984003;0.248927038626609;0.565353101833789;0.185719859539602;0.167375886524823;0;0.832624113475177;0.873004857737682;0.126995142262318;0.204487624334953;0.591024751330095;0.204487624334953;0.187369882026371;0.52116585704372;0.164469118667592;0.017117742308582;0.0698588942863752;0.0400185056673606
BL-32-L4;min;20;0.23225396;522;2216;1907;309;633;1222;361;2004;364;0;1640;0.846879916098584;1.2588996763754;6.48543689320388;1;1;0;0.1;0;0;0;NA;NA;2882;2516;366;589.333333333333;1703.33333333333;589.333333333333;540;1502;474;49.3333333333333;201.333333333333;115.333333333333;19;1;10;0;9;0;2;0;5;0;16.5;0;2;0;5;0;10;0;0.5;0;2.5;0;6.5;0;0.000451263537906137;0.860559566787004;0.139440433212996;0.285649819494585;0.5514440433213;0.162906137184116;0.181636726546906;0;0.818363273453094;0.873004857737682;0.126995142262318;0.204487624334953;0.591024751330095;0.204487624334953;0.187369882026371;0.52116585704372;0.164469118667592;0.017117742308582;0.0698588942863752;0.0400185056673606
BL-32-L5;min;20;0.23225396;450;1857;1581;276;620;978;259;1866;363;0;1503;0.869702719797597;1.77898550724638;6.76086956521739;1;5;4;0.5;0;0;0;NA;NA;2882;2516;366;589.333333333333;1703.33333333333;589.333333333333;540;1502;474;49.3333333333333;201.333333333333;115.333333333333;17;1;12;0;8;0;2;0;9;0;14.5;0;2;0;9;0;11;0;1;0;3;0;6.5;0;0.00053850296176629;0.851373182552504;0.148626817447496;0.3338718362951;0.526655896607431;0.139472267097469;0.194533762057878;0;0.805466237942122;0.873004857737682;0.126995142262318;0.204487624334953;0.591024751330095;0.204487624334953;0.187369882026371;0.52116585704372;0.164469118667592;0.017117742308582;0.0698588942863752;0.0400185056673606
