CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
126;FALSE;20;4;2;NA;NA;1.4;2.04;0.69
127;FALSE;69;2;0;NA;NA;1.62;1.11;0.58
128;FALSE;118;4;2;NA;NA;2.12;1.9;0.74
129;FALSE;73;4;1;NA;NA;2.16;1.94;0.47
130;FALSE;54;2;2;NA;NA;1.86;0.62;0.78
131;FALSE;70;5;2;NA;7;1.44;0.8;0.83
132;TRUE;102;4;0;NA;NA;1.8;2.28;0.61
133;FALSE;31;1;0;NA;NA;1.78;0.82;0.42
134;FALSE;65;3;2;NA;NA;1.58;0.9;0.46
135;FALSE;55;1;1;NA;NA;1.11;1.96;0.53
136;FALSE;74;4;0;NA;NA;1.8;1.85;0.79
137;FALSE;9;2;2;NA;NA;0.74;1.41;0.62
138;FALSE;64;4;0;NA;NA;1.91;0.46;0.53
139;FALSE;54;2;2;NA;NA;0.93;1.38;0.6
140;FALSE;29;2;0;NA;NA;0.58;1.78;0.79
141;FALSE;125;4;1;NA;NA;1.85;2.16;0.47
142;FALSE;10;3;2;NA;NA;1.8;1.76;0.42
143;TRUE;48;4;2;NA;NA;1.2;2.46;0.67
144;FALSE;69;4;1;NA;NA;1.81;1.22;0.43
145;FALSE;5;3;0;NA;NA;1.65;1.64;0.42
146;FALSE;59;4;2;NA;NA;0.68;1.64;0.71
147;FALSE;105;6;0;13;NA;0.48;1.52;0.84
148;FALSE;67;5;1;NA;4;1.12;0.57;0.41
149;FALSE;16;0;1;NA;NA;0.93;1.99;0.77
150;FALSE;105;4;1;NA;NA;1.38;2.33;0.6
151;FALSE;151;3;1;NA;NA;1.51;1.79;0.57
152;FALSE;95;3;1;NA;NA;1.16;2.4;0.33
153;FALSE;12;4;0;NA;NA;1.14;2.19;0.74
154;FALSE;18;3;0;NA;NA;1.08;1.09;0.6
155;FALSE;23;2;2;NA;NA;2.05;0.77;0.75
156;FALSE;94;4;2;NA;NA;1.66;0.88;0.84
157;FALSE;75;4;1;NA;NA;1.76;2.46;0.58
158;TRUE;116;4;2;NA;NA;1.82;2.19;0.67
159;FALSE;44;0;1;NA;NA;2.03;1.78;0.45
160;FALSE;47;4;1;NA;NA;2.02;2.4;0.87
161;FALSE;22;3;2;NA;NA;1.21;0.69;0.58
162;FALSE;37;5;1;NA;6;1.6;1.13;0.67
163;FALSE;104;4;2;NA;NA;1.36;1.83;0.82
164;FALSE;35;4;2;NA;NA;1.18;1.9;0.54
165;FALSE;6;4;2;NA;NA;1.41;1.08;0.82
166;FALSE;102;4;1;NA;NA;1.77;1.75;0.49
167;FALSE;5;3;1;NA;NA;1.6;2;0.83
168;FALSE;115;1;0;NA;NA;1.26;2.3;0.81
169;FALSE;152;4;1;NA;NA;1.26;2.42;0.6
170;TRUE;60;1;0;NA;NA;0.63;2.42;0.75
171;FALSE;98;2;1;NA;NA;1.41;1.54;0.59
172;FALSE;84;3;0;NA;NA;2.38;1.6;0.8
173;FALSE;73;6;1;15;NA;1.66;1.6;0.61
174;FALSE;81;6;1;6;NA;1.19;2.43;0.74
175;FALSE;120;4;1;NA;NA;0.8;2.39;0.61
176;FALSE;7;4;0;NA;NA;0.98;2.25;0.7
177;FALSE;122;1;1;NA;NA;1.19;2.26;0.86
178;FALSE;101;4;0;NA;NA;2.27;1.9;0.79
179;FALSE;34;4;0;NA;NA;1.61;1.72;0.69
180;FALSE;67;0;1;NA;NA;1.15;2.36;0.44
181;FALSE;48;4;1;NA;NA;1.52;2.35;0.47
182;FALSE;88;4;1;NA;NA;1.78;1.4;0.63
183;FALSE;16;2;2;NA;NA;1.35;1.14;0.55
184;FALSE;71;4;0;NA;NA;0.88;2.07;0.81
185;FALSE;79;5;0;NA;8;1.64;0.68;0.35
186;FALSE;86;4;0;NA;NA;1.8;2.1;0.6
187;FALSE;98;2;1;NA;NA;1.99;2.38;0.9
188;FALSE;83;4;1;NA;NA;1.22;2.4;0.5
189;FALSE;132;4;2;NA;NA;1.33;2.39;0.69
190;FALSE;59;4;2;NA;NA;1.35;2.19;0.56
191;FALSE;142;4;0;NA;NA;1.9;2.43;0.77
192;FALSE;48;4;0;NA;NA;1.34;2.1;0.78
193;FALSE;81;4;1;NA;NA;1.27;1.7;0.65
194;FALSE;88;4;2;NA;NA;1.5;2.22;0.59
