CONFIG_ID;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;MNRG
897;acs;3;3.95;2.21;0.05;43;0.83;NA;NA;25;1;0.461415301345816
898;acs;3;2.55;3.19;0.11;45;0.72;NA;NA;15;1;0.30211856348742
899;acs;3;3.62;1.71;0.11;52;0.91;NA;NA;19;1;0.381004973668812
9;acs;3;4.79;0.62;0.71;62;0.09;NA;NA;10;1;0.432092963721475
90;acs;3;3.47;1.69;0.64;60;0.12;NA;NA;11;1;0.302884727911059
900;acs;2;2.9;4.53;0.51;64;0.29;NA;NA;34;1;0.940493709771796
901;mmas;3;1.8;9.22;0.61;97;NA;NA;NA;10;1;0.668444265652428
902;ras;3;4.26;0.7;0.72;56;NA;11;NA;24;0;0.78950738736103
903;acs;1;4.58;6.33;0.41;62;0.02;NA;NA;27;1;0.968325043885313
904;acs;2;4.73;1.64;0.01;5;0.17;NA;NA;37;0;0.950754461673493
905;acs;3;3.59;6.27;0.46;54;0.46;NA;NA;40;1;0.67281597425395
906;acs;3;3.93;3.8;0.26;49;0.62;NA;NA;17;1;0.581589379754242
907;acs;3;4.5;1.62;0.82;56;0.07;NA;NA;30;1;0.868737200117027
908;acs;3;3.59;6.58;0.35;41;0.06;NA;NA;39;0;0.701896576945582
909;acs;3;3.88;0.75;0.89;58;0.44;NA;NA;26;1;0.750645845523698
91;acs;3;3.87;2.04;0.58;62;0.02;NA;NA;10;1;0.295777867173786
910;acs;3;4.51;2.41;0.05;34;0.61;NA;NA;17;1;0.554156304856641
911;acs;3;3.89;3.24;0.3;46;0.16;NA;NA;21;1;0.629029403159743
912;acs;3;4.56;4.79;0.16;61;0.85;NA;NA;26;1;0.509782036278525
913;acs;3;3.8;5.02;0.3;54;0.69;NA;NA;23;1;0.548924078408426
914;acs;3;3.97;2.27;0.29;65;0.56;NA;NA;15;1;0.518270187244002
915;acs;3;3.41;4.19;0.19;54;0.22;NA;NA;17;1;0.41495940608543
916;acs;3;3.1;1.6;0.25;31;0.46;NA;NA;19;1;0.520718987712112
917;acs;3;4.36;2.37;0.24;59;0.51;NA;NA;14;1;0.294192510239906
918;acs;3;3.58;4.8;0.26;56;0.04;NA;NA;16;1;0.342062244002341
919;acs;3;3.6;6.74;0.37;59;0.73;NA;NA;24;1;0.444128145114102
92;acs;3;2.74;1.75;0.67;63;0.66;NA;NA;12;1;0.295563560561732
920;acs;3;3.5;4.95;0.46;58;0.54;NA;NA;27;1;0.557336892919836
921;acs;3;2.73;3.87;0.3;46;0.22;NA;NA;19;1;0.380447264482153
922;acs;3;4.1;3.12;0.15;59;0.73;NA;NA;12;1;0.261514409011118
923;acs;3;4.27;3.07;0.31;65;0.43;NA;NA;15;1;0.378867027501463
924;acs;3;4.12;3.07;0.16;54;0.66;NA;NA;12;1;0.293059537741369
925;acs;3;4.61;2.73;0.24;57;0.43;NA;NA;15;1;0.333638092451726
926;ras;3;2.69;2.81;0.48;31;NA;8;NA;21;1;0.633971255119953
927;acs;3;4.25;8.43;0.54;25;0.8;NA;NA;36;1;0.811318753657109
928;mmas;2;1.28;8.74;0.39;22;NA;NA;NA;46;1;0.994319777647747
929;mmas;3;4.8;3.28;0.28;77;NA;NA;NA;46;1;0.83960283791691
93;acs;3;3.63;0.92;0.8;61;0.25;NA;NA;12;1;0.328075994733762
930;ras;3;3.08;1.71;0.25;56;NA;38;NA;48;0;0.899888092451726
931;acs;3;2.17;0.77;0.42;39;0.13;NA;NA;13;1;0.329812755997659
932;mmas;3;0.98;0.32;0.86;35;NA;NA;NA;12;1;0.497703700994734
933;acs;3;2.33;3.78;0.72;23;0.63;NA;NA;15;1;0.476833674663546
934;acs;3;2.2;1.03;0.35;27;0.23;NA;NA;14;1;0.392019090111176
935;acs;3;3.28;2.09;0.47;33;0.14;NA;NA;10;1;0.570710942071387
936;acs;3;4.23;2.52;0.45;65;0.4;NA;NA;9;1;0.30197922761849
937;acs;3;2.3;2.36;0.39;37;0.33;NA;NA;10;1;0.403973449385606
938;acs;3;1.91;3.08;0.38;33;0.21;NA;NA;16;1;0.368661132241077
939;acs;3;2.5;2.82;0.4;50;0.23;NA;NA;9;1;0.314429490930369
94;acs;3;2.59;2.66;0.66;64;0.76;NA;NA;13;1;0.272020552954944
940;acs;3;1.91;3.48;0.62;52;0.33;NA;NA;10;1;0.316745904037449
941;acs;3;1.74;3.7;0.41;34;0.26;NA;NA;13;1;0.339489101813926
942;acs;3;3.89;4.44;0.49;66;0.52;NA;NA;12;1;0.240867832065535
943;acs;3;3.49;5.36;0.51;63;0.44;NA;NA;16;1;0.299417788180222
944;acs;3;3.92;3.98;0.47;70;0.49;NA;NA;10;1;0.3252859859567
945;eas;3;1.4;4;0.2;15;NA;NA;497;8;1;0.934519455822118
946;as;3;4.44;2.28;0.24;29;NA;NA;NA;12;0;0.944143870684611
947;acs;2;3.19;4.78;0.98;53;0.3;NA;NA;47;1;0.964885532475132
948;mmas;3;4.17;9.39;0.3;70;NA;NA;NA;41;1;0.895518943826799
949;ras;3;4.64;0.96;0.76;61;NA;21;NA;11;0;0.754862858396723
95;acs;3;2.53;1.95;0.69;60;0.64;NA;NA;12;1;0.269953920421299
950;acs;3;4.42;3.39;0.35;58;0.28;NA;NA;30;1;0.657887653598596
951;acs;3;1.68;4.33;0.13;30;0.33;NA;NA;13;1;0.504555295494441
952;mmas;3;4.36;3.6;0.22;42;NA;NA;NA;14;1;0.767642627267408
953;acs;3;4.97;5.54;0.95;75;0.11;NA;NA;6;1;0.524080236980691
954;acs;3;1.35;6.39;0.31;13;0.24;NA;NA;17;1;0.741736029842013
955;acs;3;4.01;6.16;0.3;61;0.37;NA;NA;36;1;0.681271576945582
956;acs;3;2.86;2.42;0.2;43;0.47;NA;NA;32;1;0.644459113516676
957;acs;3;4.46;6.04;0.88;73;0.13;NA;NA;9;1;0.282679929783499
958;acs;3;4.25;4.47;0.96;78;0.54;NA;NA;15;1;0.353395991808075
959;acs;3;3.39;5.14;0.83;62;0.29;NA;NA;17;1;0.373948581041545
96;acs;3;2.76;2.89;0.66;68;0.81;NA;NA;14;1;0.280506509654769
960;acs;3;4.16;5.2;0.97;75;0.44;NA;NA;13;1;0.27048200702165
961;acs;3;4.26;6.06;0.95;74;0.09;NA;NA;12;1;0.321354593329432
962;acs;3;4.62;5.99;0.66;76;0.2;NA;NA;10;1;0.485777501462844
963;acs;3;4.28;5.42;0.94;76;0.57;NA;NA;20;1;0.419873098303101
964;acs;3;4.35;4.97;0.95;75;0.4;NA;NA;13;1;0.288720377413692
965;acs;3;3.12;3.38;0.78;62;0.21;NA;NA;19;1;0.383003583967232
966;acs;3;3.34;2.02;0.81;36;0.8;NA;NA;49;0;0.844635751901697
967;acs;2;1.78;2.64;0.37;6;0.74;NA;NA;35;1;0.944200921591574
968;acs;2;4.12;6.08;0.53;69;0.27;NA;NA;42;0;0.924753876535986
969;acs;3;2.01;0.92;0.64;29;0.54;NA;NA;44;0;0.757366515506144
97;acs;3;2.84;0.34;0.69;33;0.46;NA;NA;8;0;0.617453920421299
970;acs;2;3.53;7.56;0.03;23;0.14;NA;NA;39;1;0.898747440023405
971;acs;3;3.16;5.4;0.62;67;0.56;NA;NA;31;1;0.708145114101814
972;acs;3;1.81;1.7;0.59;28;0.46;NA;NA;29;1;0.733911644236396
973;acs;3;4.7;5.34;0.54;53;0.41;NA;NA;18;1;0.733802296664716
974;acs;3;4.25;1.42;0.65;65;0.59;NA;NA;22;1;0.53176016676419
975;acs;3;4.78;6.3;0.79;61;0.24;NA;NA;17;1;0.600101667641896
976;acs;3;3.37;4.08;0.48;62;0.23;NA;NA;26;1;0.61752121123464
977;acs;3;3.7;3.17;0.6;65;0.57;NA;NA;20;1;0.42669141310708
978;acs;3;3.33;5.12;0.53;62;0.09;NA;NA;29;1;0.673611395552955
979;acs;3;2.52;3.34;0.8;53;0.22;NA;NA;15;1;0.3821540374488
98;acs;3;3.5;6.83;0.6;46;0.68;NA;NA;21;0;0.795811878291398
980;acs;3;4.11;2.54;0.84;75;0.61;NA;NA;21;1;0.501182709186659
981;acs;3;3.97;5.45;0.49;66;0.56;NA;NA;16;1;0.315695947922762
