RUN_ID;PATH;ITERATION_1;CONFIG_ID_1;SOLUTION_1;QUALITY_1;CONFIG_COUNT_1;ELITE_COUNT_1;REGULAR_COUNT_1;START_COUNT_1;STANDARD_COUNT_1;END_COUNT_1;ELITE_START_COUNT_1;ELITE_STANDARD_COUNT_1;ELITE_END_COUNT_1;REGULAR_START_COUNT_1;REGULAR_STANDARD_COUNT_1;REGULAR_END_COUNT_1;ITERATION_2;CONFIG_ID_2;SOLUTION_2;QUALITY_2;CONFIG_COUNT_2;ELITE_COUNT_2;REGULAR_COUNT_2;START_COUNT_2;STANDARD_COUNT_2;END_COUNT_2;ELITE_START_COUNT_2;ELITE_STANDARD_COUNT_2;ELITE_END_COUNT_2;REGULAR_START_COUNT_2;REGULAR_STANDARD_COUNT_2;REGULAR_END_COUNT_2
1;FALSE;1;52;09252XX0218009045;0.59917108;1;0;1;1;0;0;0;0;0;3;0;0;1;52;09252XX0218009045;0.59917108;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;53;13730XXXX13518045;0.75748538;1;0;1;0.5;0.5;0;0;0;0;1.5;1.5;0;1;53;13730XXXX13518045;0.75748538;1;0;1;0.5;0.5;0;0;0;0;1.5;1.5;0
1;FALSE;1;54;00252XX0209000000;0.66472603;1;0;1;1;0;0;0;0;0;3;0;0;1;54;00252XX0209000000;0.66472603;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;55;09221XXXX18013545;0.60010874;1;0;1;0.5;0.5;0;0;0;0;1.5;1.5;0;1;55;09221XXXX18013545;0.60010874;1;0;1;0.5;0.5;0;0;0;0;1.5;1.5;0
1;FALSE;1;56;13731XXXX13509045;0.58761993;1;0;1;1;0;0;0;0;0;3;0;0;1;56;13731XXXX13509045;0.58761993;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;57;04700XXXX00022500;0.33041025;1;0;1;1;0;0;0;0;0;3;0;0;1;57;04700XXXX00022500;0.33041025;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;58;18212XXXX18018000;0.65670269;1;0;1;1;0;0;0;0;0;3;0;0;1;58;18212XXXX18018000;0.65670269;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;59;09240XXXX04504545;0.49947792;1;0;1;0.5;0.5;0;0;0;0;1.5;1.5;0;1;59;09240XXXX04504545;0.49947792;1;0;1;0.5;0.5;0;0;0;0;1.5;1.5;0
1;FALSE;1;60;1376004XX09000000;0.92328143;1;0;1;1;0;0;0;0;0;3;0;0;1;60;1376004XX09000000;0.92328143;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;61;00231XXXX00013545;0.51588237;1;0;1;1;0;0;0;0;0;3;0;0;1;61;00231XXXX00013545;0.51588237;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;62;13720XXXX00018000;0.55227656;1;0;1;1;0;0;0;0;0;3;0;0;1;62;13720XXXX00018000;0.55227656;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;63;09241XXXX04500000;0.65025166;1;0;1;1;0;0;0;0;0;3;0;0;1;63;09241XXXX04500000;0.65025166;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;64;00200XXXX18013545;0.47914278;1;1;0;0.333333333333333;0.333333333333333;0.333333333333333;1;1;1;0;0;0;1;64;00200XXXX18013545;0.47914278;1;1;0;0.333333333333333;0.333333333333333;0.333333333333333;1;1;1;0;0;0
1;FALSE;1;65;00251XX0213504500;0.5079239;1;0;1;1;0;0;0;0;0;3;0;0;1;65;00251XX0213504500;0.5079239;1;0;1;1;0;0;0;0;0;3;0;0
1;FALSE;1;66;09212XXXX00018045;0.47559734;1;0;1;1;0;0;0;0;0;3;0;0;1;66;09212XXXX00018045;0.47559734;1;0;1;1;0;0;0;0;0;3;0;0
1;TRUE;1;21;00251XX0218013500;0.38532191;1;1;0;0.333333333333333;0.333333333333333;0.333333333333333;1;1;1;0;0;0;2;21;00251XX0218013500;0.38532191;1;1;0;0.333333333333333;0.333333333333333;0.333333333333333;1;1;1;0;0;0
1;TRUE;1;27;13750XX1004513500;0.40913846;1;1;0;0.5;0.5;0;1.5;1.5;0;0;0;0;2;27;13750XX1004513500;0.40913846;1;1;0;0.5;0.5;0;1.5;1.5;0;0;0;0
1;TRUE;1;17;04750XX0222522545;0.38297239;1;1;0;0.333333333333333;0.333333333333333;0.333333333333333;1;1;1;0;0;0;2;17;04750XX0222522545;0.38297239;1;1;0;0.333333333333333;0.333333333333333;0.333333333333333;1;1;1;0;0;0
1;TRUE;1;23;13742XXXX00018045;0.44496651;1;1;0;0.5;0.5;0;1.5;1.5;0;0;0;0;2;23;13742XXXX00018045;0.44496651;1;1;0;0.5;0.5;0;1.5;1.5;0;0;0;0
1;TRUE;1;48;00240XXXX04509045;0.4005977;1;1;0;0.5;0.5;0;1.5;1.5;0;0;0;0;2;48;00240XXXX04509045;0.4005977;1;1;0;0.5;0.5;0;1.5;1.5;0;0;0;0
1;TRUE;1;27;13750XX1004513500;0.40913846;1;1;0;0.5;0.5;0;1.5;1.5;0;0;0;0;2;67;13732XXXX18000000;0.83422054;1;0;1;0.5;0.5;0;0;0;0;1.5;1.5;0
1;TRUE;1;48;00240XXXX04509045;0.4005977;1;1;0;0.5;0.5;0;1.5;1.5;0;0;0;0;2;68;09252XX0204518045;0.65078117;1;0;1;0;1;0;0;0;0;0;3;0
1;TRUE;1;21;00251XX0218013500;0.38532191;1;1;0;0.333333333333333;0.333333333333333;0.333333333333333;1;1;1;0;0;0;2;69;09242XXXX22509000;0.61633627;1;0;1;0;1;0;0;0;0;0;3;0
1;TRUE;1;27;13750XX1004513500;0.40913846;1;1;0;0.5;0.5;0;1.5;1.5;0;0;0;0;2;70;1826004XX00009045;0.88566511;1;0;1;0;1;0;0;0;0;0;3;0
1;TRUE;1;27;13750XX1004513500;0.40913846;1;1;0;0.5;0.5;0;1.5;1.5;0;0;0;0;2;71;18201XXXX04500045;0.89731261;1;0;1;0;1;0;0;0;0;0;3;0
1;TRUE;1;48;00240XXXX04509045;0.4005977;1;1;0;0.5;0.5;0;1.5;1.5;0;0;0;0;2;72;09220XXXX13500000;0.70630627;1;0;1;0;1;0;0;0;0;0;3;0
1;TRUE;1;23;13742XXXX00018045;0.44496651;1;1;0;0.5;0.5;0;1.5;1.5;0;0;0;0;2;73;13751XX0204509045;0.6874232;1;0;1;0;1;0;0;0;0;0;3;0
1;TRUE;1;21;00251XX0218013500;0.38532191;1;1;0;0.333333333333333;0.333333333333333;0.333333333333333;1;1;1;0;0;0;2;74;04752XX0204504545;0.50756349;1;0;1;0;1;0;0;0;0;0;3;0
1;TRUE;1;21;00251XX0218013500;0.38532191;1;1;0;0.333333333333333;0.333333333333333;0.333333333333333;1;1;1;0;0;0;2;75;00252XX0218013500;0.6589241;1;0;1;0.5;0.5;0;0;0;0;1.5;1.5;0
