CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
31;FALSE;FALSE;ras;3;4.27;4.41;0.35;48;NA;87;NA;10;1
32;FALSE;FALSE;as;1;1.77;9.41;0.85;96;NA;NA;NA;33;0
33;FALSE;FALSE;mmas;0;3.72;9.25;0.06;46;NA;NA;NA;NA;NA
34;FALSE;FALSE;ras;2;1.22;4.25;0.56;94;NA;38;NA;44;1
35;FALSE;FALSE;as;3;2.47;1.75;0.31;22;NA;NA;NA;10;0
36;FALSE;FALSE;eas;1;4.97;6.75;0.8;70;NA;NA;702;33;1
37;FALSE;FALSE;mmas;2;4.35;8;0.18;10;NA;NA;NA;39;1
38;FALSE;FALSE;acs;0;1.85;3;0.68;58;0.48;NA;NA;NA;NA
39;FALSE;FALSE;as;1;0.6;0.5;0.43;34;NA;NA;NA;50;1
40;FALSE;FALSE;ras;3;3.1;5.5;0.93;82;NA;51;NA;27;0
41;FALSE;FALSE;as;2;2.79;3.63;0.87;52;NA;NA;NA;18;1
42;FALSE;FALSE;ras;0;0.29;8.63;0.37;100;NA;82;NA;NA;NA
43;FALSE;FALSE;eas;1;1.54;6.13;0.62;28;NA;NA;655;7;1
44;FALSE;FALSE;acs;3;4.04;1.13;0.12;76;0.67;NA;NA;30;0
45;FALSE;FALSE;acs;1;3.41;2.38;0.25;88;0.04;NA;NA;24;1
46;FALSE;FALSE;mmas;3;0.91;7.38;0.74;40;NA;NA;NA;47;0
47;FALSE;FALSE;as;0;4.66;4.88;0.99;16;NA;NA;NA;NA;NA
48;FALSE;FALSE;eas;2;2.16;9.88;0.49;64;NA;NA;561;13;1
49;FALSE;FALSE;acs;1;0.75;8.94;0.9;49;0.95;NA;NA;8;0
50;FALSE;FALSE;eas;3;3.25;3.94;0.4;97;NA;NA;725;31;1
51;FALSE;FALSE;mmas;0;2;6.44;0.15;73;NA;NA;NA;NA;NA
52;FALSE;FALSE;ras;2;4.5;1.44;0.65;25;NA;35;NA;20;0
53;FALSE;FALSE;mmas;1;3.88;2.69;0.28;61;NA;NA;NA;26;0
54;FALSE;FALSE;acs;3;1.38;7.69;0.77;13;0.32;NA;NA;49;1
55;FALSE;FALSE;ras;0;2.63;0.19;0.52;37;NA;98;NA;NA;NA
56;FALSE;FALSE;as;2;0.13;5.19;0.03;85;NA;NA;NA;14;0
57;FALSE;FALSE;acs;2;3.57;7.06;0.34;31;0.14;NA;NA;34;0
58;FALSE;FALSE;eas;0;1.07;2.06;0.83;79;NA;NA;491;NA;NA
59;FALSE;FALSE;as;3;4.82;9.56;0.59;55;NA;NA;NA;23;1
60;FALSE;FALSE;ras;1;2.32;4.56;0.09;7;NA;4;NA;46;0
61;FALSE;FALSE;mmas;2;1.69;0.81;0.96;67;NA;NA;NA;40;0
62;FALSE;FALSE;ras;0;4.19;5.81;0.46;19;NA;92;NA;NA;NA
63;FALSE;FALSE;eas;3;0.44;3.31;0.22;43;NA;NA;584;5;1
64;FALSE;FALSE;as;1;2.94;8.31;0.71;91;NA;NA;NA;28;0
65;FALSE;FALSE;eas;0;3.06;2.92;0.24;34;NA;NA;286;NA;NA
66;FALSE;FALSE;acs;2;0.56;7.92;0.73;82;0;NA;NA;31;1
67;FALSE;FALSE;ras;1;4.31;0.42;0.98;58;NA;91;NA;42;1
